価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
600万円",三重県津市中央,123.75平方メートル (公簿) / 37.43坪,http://local.google.co.jp/maps?q=三重県津市中央,,一方 ( 東 50m 公道 間口4.5m ),市街化区域,宅地,商業地域,平坦,所有権,不要,"古家あり 

",相談,0141109-0000061,一般媒介★,https://www.homes.co.jp/tochi/b-1411090000061/,グッドスマイル不動産株式会社,三重県津市海岸町4番1号　エヌケービル4号,1,画像あり
"
990万円",三重県津市押加部町,446.66平方メートル (公簿) / 135.11坪,http://local.google.co.jp/maps?q=三重県津市押加部町,,一方 ( 北 2.4m 公道 間口11.5m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0141109-0000063,一般媒介★,https://www.homes.co.jp/tochi/b-1411090000063/,グッドスマイル不動産株式会社,三重県津市海岸町4番1号　エヌケービル4号,1,画像あり
"
850万円",三重県四日市市浜一色町,148.01平方メートル (公簿) / 44.77坪,http://local.google.co.jp/maps?q=三重県四日市市浜一色町,,一方 ( 東 6m 公道 間口6m ),市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり更地引渡可 

",相談,0143917-0000100,専任媒介★,https://www.homes.co.jp/tochi/b-1439170000100/,ミサワホーム株式会社　中部資産活用事業部,愛知県名古屋市中区新栄２丁目19番6号,1,画像あり
"
870万円",三重県亀山市太岡寺町,570.94平方メートル (公簿) / 172.7坪,http://local.google.co.jp/maps?q=三重県亀山市太岡寺町,,一方 ( 北 6.3m 公道 間口24.9m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143917-0000157,専任媒介★,https://www.homes.co.jp/tochi/b-1439170000157/,ミサワホーム株式会社　中部資産活用事業部,愛知県名古屋市中区新栄２丁目19番6号,1,画像あり
"
600万円",三重県伊勢市西豊浜町,945.45平方メートル (公簿) / 285.99坪,http://local.google.co.jp/maps?q=三重県伊勢市西豊浜町,,一方 ( 南 3.5m 公道 間口30.6m ) ( 北 2.3m 私道 間口27.7m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143917-0000052,一般媒介★,https://www.homes.co.jp/tochi/b-1439170000052/,ミサワホーム株式会社　中部資産活用事業部,愛知県名古屋市中区新栄２丁目19番6号,1,画像あり
"
257万円",三重県北牟婁郡紀北町東長島3469,184.16平方メートル (公簿) / 55.7坪,http://local.google.co.jp/maps?q=三重県北牟婁郡紀北町東長島3469,,( 北東 4m 公道 間口11m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0140114-0000060,一般媒介,https://www.homes.co.jp/tochi/b-1401140000060/,株式会社キーボ,東京都練馬区下石神井２丁目15-23,1,画像あり
"
480万円",三重県伊勢市浦口4丁目26-8,171.9平方メートル (公簿) / 51.99坪,http://local.google.co.jp/maps?q=三重県伊勢市浦口4丁目26-8,,一方 ( 南 4.2m 公道 間口7.2m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0137215-0000069,専任媒介★,https://www.homes.co.jp/tochi/b-1372150000069/,RER　Agency株式会社,東京都台東区上野７丁目3-9　アルベルゴ上野208,1,画像あり
"
400万円",三重県鳥羽市大明西町,163.53平方メートル (公簿) / 49.46坪,http://local.google.co.jp/maps?q=三重県鳥羽市大明西町,,二方 ( 南 6.5m 公道 間口10m ) ( 北 3m 公道 間口10m ),非線引区域,宅地,第二種低層住居専用地域,平坦,所有権,不要,"古家あり 

","相談
（建築条件付き）",0131221-0000119,専任媒介★,https://www.homes.co.jp/tochi/b-1312210000119/,ハウジングプラザ京阪,大阪府枚方市養父東町18番26号-301,1,画像あり
"
600万円",三重県松阪市白粉町433,118.31平方メートル (公簿) / 35.78坪,http://local.google.co.jp/maps?q=三重県松阪市白粉町433,,一方 ( 南西 6.9m 公道 ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,3905062-0000088,一般媒介★,https://www.homes.co.jp/tochi/b-39050620000088/,株式会社ユタカ開発,三重県松阪市宮町238番地2,1,画像あり
"
850万円",三重県四日市市大矢知町,390.06平方メートル (公簿) / 117.99坪,http://local.google.co.jp/maps?q=三重県四日市市大矢知町,,( 西 3.6m 公道 間口17.8m ) ( 北 2.5m 公道 間口13m ) ( 西 1.3m 公道 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0138700-0000032,専任媒介,https://www.homes.co.jp/tochi/b-1387000000032/,株式会社エイミックス　名古屋支店,愛知県名古屋市中区栄２丁目9-5　アーク栄東海ビル9階,1,画像あり
"
290万円",三重県津市乙部305,115.94平方メートル / 35.07坪,http://local.google.co.jp/maps?q=三重県津市乙部305,,-,市街化区域,宅地,近隣商業地域,-,所有権,不要,"古家あり 

",相談,0139728-0000074,一般媒介★,https://www.homes.co.jp/tochi/b-1397280000074/,株式会社めりーほーむ,兵庫県川西市花屋敷１丁目5-17-205,1,画像あり
