価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
680万円",京都府京都市伏見区羽束師古川町,61.41平方メートル (公簿) / 18.57坪,http://local.google.co.jp/maps?q=京都府京都市伏見区羽束師古川町,,一方 ( 西 6m 公道 間口4m ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり 

",相談,0101431-0008241,専属専任媒介,https://www.homes.co.jp/tochi/b-1014310008241/,株式会社福屋不動産販売　長岡京店,京都府長岡京市開田２丁目9-22　ラルジュ天神通り101号,1,画像あり
"
680万円",京都府亀岡市篠町馬堀南垣内,73.98平方メートル (公簿) / 22.37坪,http://local.google.co.jp/maps?q=京都府亀岡市篠町馬堀南垣内,,一方 ( 北 6.1m 公道 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0101414-0008950,一般媒介,https://www.homes.co.jp/tochi/b-1014140008950/,株式会社福屋不動産販売　京都桂店,京都府京都市西京区上桂北村町241番,1,画像あり
"
980万円",京都府京都市伏見区向島津田町,88.4平方メートル (公簿) / 26.74坪,http://local.google.co.jp/maps?q=京都府京都市伏見区向島津田町,,一方 ( 南東 4m 間口2.2m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0105442-0008493,仲介,https://www.homes.co.jp/tochi/b-1054420008493/,株式会社福屋不動産販売　伏見店,京都府京都市伏見区竹田段川原町29番地1　アルデール・B　1F,1,画像あり
"
850万円",京都府京都市伏見区羽束師古川町,56.77平方メートル (公簿) / 17.17坪,http://local.google.co.jp/maps?q=京都府京都市伏見区羽束師古川町,,一方 ( 南 6m 公道 間口3.7m ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり 

",相談,0105442-0007337,仲介,https://www.homes.co.jp/tochi/b-1054420007337/,株式会社福屋不動産販売　伏見店,京都府京都市伏見区竹田段川原町29番地1　アルデール・B　1F,1,画像あり
"
750万円",京都府京都市伏見区深草東伊達町18-7,48.42平方メートル (公簿) / 14.64坪,http://local.google.co.jp/maps?q=京都府京都市伏見区深草東伊達町18-7,,角地 ( 南西 3.8m 私道 位置指定 間口7.1m ) ( 南 3.9m 私道 位置指定 間口5.9m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0008271-0003526,専属専任媒介★,https://www.homes.co.jp/tochi/b-82710003526/,センチュリー21オークハウジィング,京都府京都市伏見区桃山町伊賀69-5,1,画像あり
"
650万円",京都府城陽市寺田正道,85平方メートル (公簿) / 25.71坪,http://local.google.co.jp/maps?q=京都府城陽市寺田正道,,一方 ( 西 4.5m ),市街化区域,山林,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0102975-0008137,仲介,https://www.homes.co.jp/tochi/b-1029750008137/,株式会社福屋不動産販売　京田辺店,京都府京田辺市田辺中央１丁目1番地5　B.I.T.DAIEIビル　1F西,1,画像あり
"
980万円",京都府京都市伏見区向島津田町,88.4平方メートル (公簿) / 26.74坪,http://local.google.co.jp/maps?q=京都府京都市伏見区向島津田町,,一方 ( 南東 4m 間口2.2m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0101408-0011068,仲介,https://www.homes.co.jp/tochi/b-1014080011068/,株式会社福屋不動産販売　宇治店,京都府宇治市小倉町神楽田21-5 アーバネックス小倉ビル1F,1,画像あり
"
550万円",京都府京都市山科区四ノ宮小金塚,115.73平方メートル (公簿) / 35坪,http://local.google.co.jp/maps?q=京都府京都市山科区四ノ宮小金塚,,( 南 6m 私道 間口9.4m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0101424-0009361,仲介,https://www.homes.co.jp/tochi/b-1014240009361/,株式会社福屋不動産販売　京都山科店,京都府京都市山科区御陵大津畑町53-1,1,画像あり
"
850万円",京都府京都市伏見区羽束師古川町,56.77平方メートル (公簿) / 17.17坪,http://local.google.co.jp/maps?q=京都府京都市伏見区羽束師古川町,,一方 ( 南 6m 公道 間口3.7m ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり 

",相談,0144699-0000084,仲介,https://www.homes.co.jp/tochi/b-1446990000084/,ハウスドゥ　伏見羽束師　株式会社Pecore＆Singe,京都府京都市伏見区羽束師志水町131　パレアンソレイエ101,1,画像あり
"
650万円",京都府木津川市山城町綺田南河原,121.53平方メートル (公簿) / 36.76坪,http://local.google.co.jp/maps?q=京都府木津川市山城町綺田南河原,,( 北 5.1m 公道 間口11.6m ) ( 西 5.1m 公道 間口5.8m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0141292-0000551,仲介,https://www.homes.co.jp/tochi/b-1412920000551/,株式会社楓工務店　トチナラ,奈良県奈良市右京１丁目3-4　サンタウンプラザすずらん館2階200号室,1,画像あり
"
980万円",京都府木津川市加茂町大野内畑,197.9平方メートル (公簿) / 59.86坪,http://local.google.co.jp/maps?q=京都府木津川市加茂町大野内畑,,角地 ( 西 5.5m 公道 ) ( 北 1.4m 公道 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0101407-0013643,仲介,https://www.homes.co.jp/tochi/b-1014070013643/,株式会社福屋不動産販売 奈良店,奈良県奈良市大宮町７丁目2番5号 田村ビル1階,1,画像あり
"
650万円",京都府舞鶴市字小倉,198平方メートル (公簿) / 59.89坪,http://local.google.co.jp/maps?q=京都府舞鶴市字小倉,,一方 ( 北 5.9m 公道 間口15.2m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129932-0000497,一般媒介,https://www.homes.co.jp/tochi/b-1299320000497/,ハウスドゥ　舞鶴　株式会社ウエハラ,京都府舞鶴市北浜町6-3,1,画像あり
"
980万円",京都府宇治市宇治善法,63.14平方メートル (公簿) / 19.09坪,http://local.google.co.jp/maps?q=京都府宇治市宇治善法,,一方 ( 東 4m 間口7.4m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0101408-0011143,仲介,https://www.homes.co.jp/tochi/b-1014080011143/,株式会社福屋不動産販売　宇治店,京都府宇治市小倉町神楽田21-5 アーバネックス小倉ビル1F,1,画像あり
"
780万円",京都府京都市山科区川田山田,66.78平方メートル (公簿) / 20.2坪,http://local.google.co.jp/maps?q=京都府京都市山科区川田山田,,一方 ( 北西 6.2m 間口11.2m ),市街化区域,宅地,準工業地域,平坦,所有権,不要,"古家あり 

",即時,0008766-0001639,一般媒介,https://www.homes.co.jp/tochi/b-87660001639/,センチュリー21エンドレス不動産販売,京都府京都市山科区四ノ宮神田町29番地,1,画像あり
"
880万円",京都府京都市伏見区桃山町本多上野,134.46平方メートル (公簿) / 40.67坪,http://local.google.co.jp/maps?q=京都府京都市伏見区桃山町本多上野,,一方 ( 東 ),市街化区域,宅地,第一種中高層住居専用地域,傾斜地,所有権,不要,"古家あり 

",相談,0101421-0012386,仲介,https://www.homes.co.jp/tochi/b-1014210012386/,株式会社福屋不動産販売　京都東店,京都府京都市山科区勧修寺閑林寺43番6　ピアプレミール1階,1,画像あり
"
880万円",京都府京都市伏見区桃山町本多上野,134.46平方メートル (公簿) / 40.67坪,http://local.google.co.jp/maps?q=京都府京都市伏見区桃山町本多上野,,一方 ( 東 ),市街化区域,宅地,第一種中高層住居専用地域,傾斜地,所有権,不要,"古家あり 

",相談,0101424-0009711,仲介,https://www.homes.co.jp/tochi/b-1014240009711/,株式会社福屋不動産販売　京都山科店,京都府京都市山科区御陵大津畑町53-1,1,画像あり
"
780万円",京都府舞鶴市愛宕下町,198平方メートル (公簿) / 59.89坪,http://local.google.co.jp/maps?q=京都府舞鶴市愛宕下町,,一方 ( 北西 公道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129932-0000413,仲介,https://www.homes.co.jp/tochi/b-1299320000413/,ハウスドゥ　舞鶴　株式会社ウエハラ,京都府舞鶴市北浜町6-3,1,画像あり
"
600万円",京都府宇治市広野町丸山,198平方メートル (公簿) / 59.89坪,http://local.google.co.jp/maps?q=京都府宇治市広野町丸山,,( 南 6m 公道 間口1.8m ),市街化区域,山林,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0142542-0000151,専属専任媒介,https://www.homes.co.jp/tochi/b-1425420000151/,株式会社アフターホーム　京都南店,京都府城陽市寺田新池78-1,1,画像あり
"
880万円",京都府京都市伏見区桃山町本多上野,134.46平方メートル (公簿) / 40.67坪,http://local.google.co.jp/maps?q=京都府京都市伏見区桃山町本多上野,,一方 ( 東 ),市街化区域,宅地,第一種中高層住居専用地域,傾斜地,所有権,不要,"古家あり 

",相談,0105442-0008946,仲介,https://www.homes.co.jp/tochi/b-1054420008946/,株式会社福屋不動産販売　伏見店,京都府京都市伏見区竹田段川原町29番地1　アルデール・B　1F,1,画像あり
"
880万円",京都府京都市伏見区桃山町本多上野,134.46平方メートル (公簿) / 40.67坪,http://local.google.co.jp/maps?q=京都府京都市伏見区桃山町本多上野,,一方 ( 東 ),市街化区域,宅地,第一種中高層住居専用地域,傾斜地,所有権,不要,"古家あり 

",相談,0101431-0009303,仲介,https://www.homes.co.jp/tochi/b-1014310009303/,株式会社福屋不動産販売　長岡京店,京都府長岡京市開田２丁目9-22　ラルジュ天神通り101号,1,画像あり
"
730万円",京都府舞鶴市字余部上612-2,244.04平方メートル (公簿) / 73.82坪,http://local.google.co.jp/maps?q=京都府舞鶴市字余部上612-2,,一方,市街化区域,宅地,準住居地域,平坦,所有権,不要,"古家あり 

",相談,0137445-0000087,一般媒介,https://www.homes.co.jp/tochi/b-1374450000087/,有限会社イマヤスハウジング,京都府舞鶴市字伊佐津333番地,1,画像あり
"
780万円",京都府京都市山科区御陵別所町,67.29平方メートル (公簿) / 20.35坪,http://local.google.co.jp/maps?q=京都府京都市山科区御陵別所町,,( 西 4m 私道 位置指定 間口8.5m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,0116731-0001495,仲介,https://www.homes.co.jp/tochi/b-1167310001495/,株式会社彩住宅,滋賀県大津市稲葉台１７番６号,1,画像あり
"
980万円",京都府京都市伏見区向島津田町,88.4平方メートル (公簿) / 26.74坪,http://local.google.co.jp/maps?q=京都府京都市伏見区向島津田町,,一方 ( 南東 4m 公道 間口2.2m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0144699-0000185,仲介,https://www.homes.co.jp/tochi/b-1446990000185/,ハウスドゥ　伏見羽束師　株式会社Pecore＆Singe,京都府京都市伏見区羽束師志水町131　パレアンソレイエ101,1,画像あり
"
850万円",京都府京都市伏見区羽束師古川町,56.77平方メートル / 17.17坪,http://local.google.co.jp/maps?q=京都府京都市伏見区羽束師古川町,,一方 ( 南 6m 公道 間口3.7m ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり 

",相談,0136213-0000374,仲介,https://www.homes.co.jp/tochi/b-1362130000374/,ハウスドゥ！竹田店　株式会社エステートコンサルタント,京都府京都市伏見区竹田中川原町1-3　ポピットハイム1,1,画像あり
"
780万円",京都府京都市山科区西野山欠ノ上町87-29,46.8平方メートル (実測) / 14.15坪,http://local.google.co.jp/maps?q=京都府京都市山科区西野山欠ノ上町87-29,,一方 ( 南 5m 私道 間口3.7m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0146775-0000002,専任媒介★,https://www.homes.co.jp/tochi/b-1467750000002/,L．E．不動産株式会社,京都府京都市北区紫竹下本町33,1,画像あり
"
980万円",京都府京都市伏見区向島津田町,88.4平方メートル (公簿) / 26.74坪,http://local.google.co.jp/maps?q=京都府京都市伏見区向島津田町,,一方 ( 南東 4m 公道 間口2.2m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0136213-0001276,仲介,https://www.homes.co.jp/tochi/b-1362130001276/,ハウスドゥ！竹田店　株式会社エステートコンサルタント,京都府京都市伏見区竹田中川原町1-3　ポピットハイム1,1,画像あり
