価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
680万円",佐賀県佐賀市本庄町大字本庄,211.1平方メートル (公簿) / 63.85坪,http://local.google.co.jp/maps?q=佐賀県佐賀市本庄町大字本庄,,一方 ( 北 4m 公道 間口4.3m ),市街化区域,宅地,準住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129340-0001608,仲介,https://www.homes.co.jp/tochi/b-1293400001608/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
100万円",佐賀県小城市芦刈町永田六丁搦3216番4,223.08平方メートル (公簿) / 67.48坪,http://local.google.co.jp/maps?q=佐賀県小城市芦刈町永田六丁搦3216番4,,一方 ( 東 3.6m 公道 間口13m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0143412-0000045,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000045/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
200万円",佐賀県武雄市西川登町大字小田志14740番,448.46平方メートル (公簿) / 135.65坪,http://local.google.co.jp/maps?q=佐賀県武雄市西川登町大字小田志14740番,,二方 ( 北西 6m 公道 間口13m ) ( 南西 1.8m 公道 間口24m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143412-0000347,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000347/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
580万円",佐賀県佐賀市本庄町大字鹿子,169.15平方メートル / 51.16坪,http://local.google.co.jp/maps?q=佐賀県佐賀市本庄町大字鹿子,,一方 ( 東 2m 公道 間口17.4m ) ( 南 4m 公道 間口9.8m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,3702145-0001596,専任媒介,https://www.homes.co.jp/tochi/b-37021450001596/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
400万円",佐賀県杵島郡白石町大字牛屋6548番2,250.47平方メートル (公簿) / 75.76坪,http://local.google.co.jp/maps?q=佐賀県杵島郡白石町大字牛屋6548番2,,角地 ( 東 8.8m 公道 間口35m ) ( 北 18m 公道 間口9.2m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143412-0000350,専任媒介★,https://www.homes.co.jp/tochi/b-1434120000350/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
100万円",佐賀県多久市東多久町大字別府2631番1,873.05平方メートル (公簿) / 264.09坪,http://local.google.co.jp/maps?q=佐賀県多久市東多久町大字別府2631番1,,一方 ( 南 12.5m 公道 間口27.5m ),非線引区域,宅地,第一種住居地域,高台,所有権,不要,"古家あり 

",即時,0143412-0000244,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000244/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
380万円",佐賀県武雄市山内町大字大野6729番4他、1筆,373平方メートル (公簿) / 112.83坪,http://local.google.co.jp/maps?q=佐賀県武雄市山内町大字大野6729番4他、1筆,,二方 ( 北 1m 公道 間口33m ) ( 東 5m 公道 間口10m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143412-0000272,専任媒介★,https://www.homes.co.jp/tochi/b-1434120000272/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
690万円",佐賀県神埼郡吉野ヶ里町吉田,391.89平方メートル / 118.54坪,http://local.google.co.jp/maps?q=佐賀県神埼郡吉野ヶ里町吉田,,一方 ( 南 4m 公道 ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,3702145-0001021,一般媒介,https://www.homes.co.jp/tochi/b-37021450001021/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
980万円",佐賀県佐賀市下田町6番17,257.05平方メートル (公簿) / 77.75坪,http://local.google.co.jp/maps?q=佐賀県佐賀市下田町6番17,,一方 ( 南西 4m 公道 間口19m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0143412-0000330,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000330/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
650万円",佐賀県佐賀市与賀町45番9他、9筆,141.85平方メートル (公簿) / 42.9坪,http://local.google.co.jp/maps?q=佐賀県佐賀市与賀町45番9他、9筆,,一方 ( 北 3m 私道 位置指定 間口12m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0143412-0000169,専任媒介★,https://www.homes.co.jp/tochi/b-1434120000169/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
