価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
880万円",兵庫県姫路市双葉町,85.38平方メートル (公簿) / 25.82坪,http://local.google.co.jp/maps?q=兵庫県姫路市双葉町,,角地 ( 西 5.3m 間口10.5m ) ( 南 3m 間口4.5m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0134734-0002542,仲介,https://www.homes.co.jp/tochi/b-1347340002542/,株式会社くらすＯＮＥ,兵庫県姫路市下手野２丁目4-3　KURASU-ONEビル1F,1,画像あり
"
200万円",兵庫県小野市三和町,254.63平方メートル / 77.02坪,http://local.google.co.jp/maps?q=兵庫県小野市三和町,,角地 ( 北東 ) ( 南東 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0144841-0000331,仲介,https://www.homes.co.jp/tochi/b-1448410000331/,株式会社わいわいホーム,兵庫県三木市大村832番地の1,1,画像あり
"
700万円",兵庫県加古郡播磨町北本荘7丁目,95.32平方メートル (公簿) / 28.83坪,http://local.google.co.jp/maps?q=兵庫県加古郡播磨町北本荘7丁目,,一方 ( 北東 6m 公道 間口9m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0101419-0012125,仲介,https://www.homes.co.jp/tochi/b-1014190012125/,株式会社福屋不動産販売 高砂店,兵庫県高砂市米田町米田987番地1,1,画像あり
"
690万円",兵庫県神戸市須磨区東須磨,145平方メートル (公簿) / 43.86坪,http://local.google.co.jp/maps?q=兵庫県神戸市須磨区東須磨,,角地 ( 南 2.6m 公道 間口10m ),市街化区域,山林,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0139638-0000477,仲介,https://www.homes.co.jp/tochi/b-1396380000477/,株式会社エヌプラッツ　神戸新長田支店,兵庫県神戸市長田区松野通１丁目11-12,1,画像あり
"
980万円",兵庫県宍粟市山崎町山崎459,295平方メートル / 89.23坪,http://local.google.co.jp/maps?q=兵庫県宍粟市山崎町山崎459,,角地,市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0120404-0000314,仲介,https://www.homes.co.jp/tochi/b-1204040000314/,株式会社ウッドベルハウス　本店,兵庫県宍粟市山崎町鹿沢２３２,1,画像あり
"
650万円",兵庫県神戸市須磨区緑が丘2丁目,65.86平方メートル (公簿) / 19.92坪,http://local.google.co.jp/maps?q=兵庫県神戸市須磨区緑が丘2丁目,,-,市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0125886-0003873,仲介,https://www.homes.co.jp/tochi/b-1258860003873/,神戸不動産リアルティ株式会社,兵庫県神戸市垂水区野田通5-15,1,画像あり
"
650万円",兵庫県尼崎市武庫町2丁目,56.24平方メートル (公簿) / 17.01坪,http://local.google.co.jp/maps?q=兵庫県尼崎市武庫町2丁目,,一方 ( 北 4.2m 私道 位置指定 間口2.1m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0101879-0013110,仲介,https://www.homes.co.jp/tochi/b-1018790013110/,株式会社福屋不動産販売 尼崎店,兵庫県尼崎市長洲本通１丁目７－１６　マイシュ・デ・カサ１階,1,画像あり
"
750万円",兵庫県西脇市和布町,228.09平方メートル (公簿) / 68.99坪,http://local.google.co.jp/maps?q=兵庫県西脇市和布町,,一方 ( 西 8m 公道 間口13.9m ),市街化区域,宅地,準工業地域,平坦,所有権,不要,"古家あり 

",即時,0134380-0000033,一般媒介,https://www.homes.co.jp/tochi/b-1343800000033/,いえとち工房　株式会社藤本工務店,兵庫県小野市敷地町1603-1,1,画像あり
"
580万円",兵庫県加古川市平岡町土山,142.13平方メートル (公簿) / 42.99坪,http://local.google.co.jp/maps?q=兵庫県加古川市平岡町土山,,一方 ( 北東 6.3m 公道 間口2m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0101413-0015288,専属専任媒介,https://www.homes.co.jp/tochi/b-1014130015288/,株式会社福屋不動産販売 東加古川店,兵庫県加古川市平岡町新在家３丁目２８９番８号１０１,1,画像あり
"
600万円",兵庫県たつの市新宮町新宮,256.68平方メートル (公簿) / 77.64坪,http://local.google.co.jp/maps?q=兵庫県たつの市新宮町新宮,,一方 ( 2.5m 公道 ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり 

",即時,0147003-0000341,仲介,https://www.homes.co.jp/tochi/b-1470030000341/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
700万円",兵庫県たつの市揖西町中垣内,311.85平方メートル (公簿) / 94.33坪,http://local.google.co.jp/maps?q=兵庫県たつの市揖西町中垣内,,三方 ( 南 12m 公道 間口20.6m ) ( 西 4.9m 公道 ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0147003-0000338,仲介,https://www.homes.co.jp/tochi/b-1470030000338/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
750万円",兵庫県揖保郡太子町原,149.93平方メートル (公簿) / 45.35坪,http://local.google.co.jp/maps?q=兵庫県揖保郡太子町原,,角地 ( 北 公道 ) ( 西 公道 ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0134734-0002797,仲介,https://www.homes.co.jp/tochi/b-1347340002797/,株式会社くらすＯＮＥ,兵庫県姫路市下手野２丁目4-3　KURASU-ONEビル1F,1,画像あり
"
650万円",兵庫県姫路市大塩町,298.9平方メートル (公簿) / 90.41坪,http://local.google.co.jp/maps?q=兵庫県姫路市大塩町,,角地 ( 西 公道 ) ( 南 私道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0147003-0001039,仲介,https://www.homes.co.jp/tochi/b-1470030001039/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
580万円",兵庫県姫路市夢前町前之庄,"1,482.22平方メートル (公簿) / 448.37坪",http://local.google.co.jp/maps?q=兵庫県姫路市夢前町前之庄,,( 南 5m 公道 間口32m ) ( 西 4m 間口47m ),都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",相談,0110073-0011327,仲介,https://www.homes.co.jp/tochi/b-1100730011327/,株式会社福屋不動産販売 姫路西店,兵庫県姫路市勝原区宮田１１６－１,1,画像あり
"
750万円",兵庫県姫路市新在家1丁目,99.18平方メートル (公簿) / 30坪,http://local.google.co.jp/maps?q=兵庫県姫路市新在家1丁目,,( 北西 ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0147003-0001194,仲介,https://www.homes.co.jp/tochi/b-1470030001194/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
780万円",兵庫県姫路市香寺町中仁野,145平方メートル / 43.86坪,http://local.google.co.jp/maps?q=兵庫県姫路市香寺町中仁野,,一方 ( 東 5.9m 公道 間口12m ),市街化区域,雑種地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0124691-0007056,仲介,https://www.homes.co.jp/tochi/b-1246910007056/,株式会社福屋不動産販売　姫路北店,兵庫県姫路市西新在家１丁目6番30号,1,画像あり
"
600万円",兵庫県姫路市網干区浜田,97.62平方メートル (公簿) / 29.53坪,http://local.google.co.jp/maps?q=兵庫県姫路市網干区浜田,,二方 ( 北 6m 公道 間口9m ) ( 東 6m 公道 間口10.8m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

","相談
（古家解体後に更地渡し）",0147003-0000882,仲介,https://www.homes.co.jp/tochi/b-1470030000882/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
