価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
450万円,千葉県富里市十倉291-361, 125.2㎡（公簿）,http://local.google.co.jp/maps?q=千葉県富里市十倉291-361,駐車場 空有 無料, 一方, 市街化調整区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 0134841-0000051, 一般媒介,https://www.homes.co.jp/kodate/b-1348410000051/,有限会社東進住宅,千葉県松戸市新松戸１丁目414　大清堂ビル1階,2,画像あり
880万円,千葉県山武市蓮沼ニ99-1, 811.33㎡,http://local.google.co.jp/maps?q=千葉県山武市蓮沼ニ99-1,駐車場 空有 無料, 角地 ( 南 7m 公道 間口20.4m ), 非線引区域, 宅地, 無指定,, 所有権, 不要,居住中, 相談, 0132944-0000540, 専任媒介,https://www.homes.co.jp/kodate/b-1329440000540/,株式会社エイミックス　東京支店,東京都中央区日本橋室町４丁目3-15　DK日本橋4階,2,画像あり
480万円,千葉県船橋市丸山4丁目, 99.17㎡,http://local.google.co.jp/maps?q=千葉県船橋市丸山4丁目,駐車場 無, 角地 ( 北 4m 私道 ) ( 西 4m 私道 ), 市街化区域, 山林, 第一種低層住居専用地域,, 所有権, 不要,居住中, 相談, 0137333-0000122, 一般媒介,https://www.homes.co.jp/kodate/b-1373330000122/,有限会社光和住宅,千葉県鎌ケ谷市中央１丁目1番32号,2,画像あり
580万円,千葉県茂原市早野, 238.94㎡,http://local.google.co.jp/maps?q=千葉県茂原市早野,駐車場 空有 無料, 一方 ( 北東 5m ), 非線引区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 即時, 0108007-0003042, 仲介,https://www.homes.co.jp/kodate/b-1080070003042/,株式会社三越ハウジング,千葉県大網白里市駒込４３８番９,2,画像あり
740万円,千葉県鎌ケ谷市東鎌ケ谷2丁目, 79.33㎡（公簿）,http://local.google.co.jp/maps?q=千葉県鎌ケ谷市東鎌ケ谷2丁目,駐車場 無, 一方 ( 南東 3.8m 公道 ), 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,空家, 即時, 3709109-0002791, 一般媒介,https://www.homes.co.jp/kodate/b-37091090002791/,ポラスグループ　株式会社中央住宅　ポラス住まいの情報館　南柏営業所,千葉県柏市南柏中央6-3 S509KINGビル105・205,2,画像あり
950万円,千葉県長生郡長生村七井土, 636㎡,http://local.google.co.jp/maps?q=千葉県長生郡長生村七井土,駐車場 空有 (3台) 無料, 一方 ( 北東 4m ), 非線引区域, 山林, 無指定,, 所有権, 不要,空家, 即時, 0108007-0002775, 仲介,https://www.homes.co.jp/kodate/b-1080070002775/,株式会社三越ハウジング,千葉県大網白里市駒込４３８番９,2,画像あり
800万円,千葉県八街市八街い, 220.69㎡（公簿）,http://local.google.co.jp/maps?q=千葉県八街市八街い,駐車場 空有 (5台) 無料備考・敷地について 地目　宅地(110.69平米)+山林(110平米) 敷地総面積　220.69平米  駐車場 地目　山林(138平米)八街市八街い99-61■備考■ ・契約不適合責任免責（現況有姿）となります ・間取り図と相違があった場合は現況を優先します ・境界非明示 ・敷地内駐車場2台、その他駐車場付き(3台可能) ・S58年1階和室増築  【建物状況調査に関する情報】 　売主にて実施の予定なし、買主の実施可能  , 一方 ( 南西 3.9m 公道 ), 非線引区域, 宅地備考・敷地について 　宅地(110.69平米)+山林(110平米) 敷地総面積　220.69平米  駐車場 　山林(138平米)八街市八街い99-61■備考■ ・契約不適合責任免責（現況有姿）となります ・間取り図と相違があった場合は現況を優先します ・境界非明示 ・敷地内駐車場2台、その他駐車場付き(3台可能) ・S58年1階和室増築  【建物状況調査に関する情報】 　売主にて実施の予定なし、買主の実施可能  , 無指定,, 所有権, 不要,居住中備考・敷地について 地目　宅地(110.69平米)+山林(110平米) 敷地総面積　220.69平米  駐車場 地目　山林(138平米)八街市八街い99-61■備考■ ・契約不適合責任免責（有姿）となります ・間取り図と相違があった場合はを優先します ・境界非明示 ・敷地内駐車場2台、その他駐車場付き(3台可能) ・S58年1階和室増築  【建物状況調査に関する情報】 　売主にて実施の予定なし、買主の実施可能  , 相談, 3702168-0000312, 専任媒介,https://www.homes.co.jp/kodate/b-37021680000312/,イエステーション都賀店　株式会社ハウスエージェント,千葉県千葉市若葉区都賀３丁目19-1,2,画像あり
780万円,千葉県長生郡長生村一松戊, 640㎡,http://local.google.co.jp/maps?q=千葉県長生郡長生村一松戊,駐車場 空有 無料, 一方 ( 西 2.5m 間口16.5m ), 非線引区域, 山林, 第一種住居地域,, 所有権, 不要,空家, 即時, 0108007-0003025, 仲介,https://www.homes.co.jp/kodate/b-1080070003025/,株式会社三越ハウジング,千葉県大網白里市駒込４３８番９,2,画像あり
890万円,千葉県市川市相之川1丁目, 32.58㎡,http://local.google.co.jp/maps?q=千葉県市川市相之川1丁目,駐車場 無, 一方 ( 北 4.2m 公道 ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 3500530-0001966, 専任媒介,https://www.homes.co.jp/kodate/b-35005300001966/,大成有楽不動産販売株式会社　津田沼センター,千葉県習志野市津田沼１丁目2-13 OKビル 5F,2,画像あり
880万円,千葉県白井市七次台3丁目, 125.63㎡,http://local.google.co.jp/maps?q=千葉県白井市七次台3丁目,駐車場 空有 (0台) 無料 物件からの距離0m,, 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 即時, 0122539-0000430, 仲介,https://www.homes.co.jp/kodate/b-1225390000430/,東日本住宅株式会社　千葉ニュータウン西白井営業所,千葉県白井市清水口１丁目１－１１,2,画像あり
