価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
530万円",和歌山県和歌山市梶取,94.38平方メートル (公簿) / 28.54坪,http://local.google.co.jp/maps?q=和歌山県和歌山市梶取,,( 東 5.8m 公道 間口6.2m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0100263-0030955,仲介,https://www.homes.co.jp/tochi/b-1002630030955/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
680万円",和歌山県紀の川市貴志川町北山,379.29平方メートル (公簿) / 114.73坪,http://local.google.co.jp/maps?q=和歌山県紀の川市貴志川町北山,,角地 ( 西 5m 公道 間口21.9m ) ( 南 2.7m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0100263-0031856,仲介,https://www.homes.co.jp/tochi/b-1002630031856/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
420万円",和歌山県和歌山市和歌浦中2丁目,61.88平方メートル (公簿) / 18.71坪,http://local.google.co.jp/maps?q=和歌山県和歌山市和歌浦中2丁目,,角地 ( 北 3m ) ( 東 3m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0008681-0000773,仲介,https://www.homes.co.jp/tochi/b-86810000773/,センチュリー21際和歌山店,和歌山県和歌山市毛革屋丁25,1,画像あり
"
754万円",和歌山県和歌山市宇須1丁目2-18,124.74平方メートル (公簿) / 37.73坪,http://local.google.co.jp/maps?q=和歌山県和歌山市宇須1丁目2-18,,一方 ( 南 3m 公道 間口7.4m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,3904991-0000231,一般媒介★,https://www.homes.co.jp/tochi/b-39049910000231/,株式会社アクティブマドリード,和歌山県和歌山市十一番丁10番地　Jamビル,1,画像あり
"
680万円",和歌山県紀の川市貴志川町北山,379.29平方メートル (公簿) / 114.73坪,http://local.google.co.jp/maps?q=和歌山県紀の川市貴志川町北山,,角地 ( 西 5m 公道 間口21.9m ) ( 南 2.7m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0008681-0006327,仲介,https://www.homes.co.jp/tochi/b-86810006327/,センチュリー21際和歌山店,和歌山県和歌山市毛革屋丁25,1,画像あり
"
800万円",和歌山県和歌山市平井,171.14平方メートル (公簿) / 51.76坪,http://local.google.co.jp/maps?q=和歌山県和歌山市平井,,( 南 6.9m 間口18m ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0032943,仲介,https://www.homes.co.jp/tochi/b-1002630032943/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
850万円",和歌山県和歌山市東高松2丁目,101.72平方メートル / 30.77坪,http://local.google.co.jp/maps?q=和歌山県和歌山市東高松2丁目,,-,市街化区域,雑種地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0030602,仲介,https://www.homes.co.jp/tochi/b-1002630030602/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
680万円",和歌山県和歌山市三葛,132.62平方メートル (公簿) / 40.11坪,http://local.google.co.jp/maps?q=和歌山県和歌山市三葛,,二方 ( 北 3m 間口7m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0031092,仲介,https://www.homes.co.jp/tochi/b-1002630031092/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
700万円",和歌山県和歌山市手平4丁目,113.88平方メートル (公簿) / 34.44坪,http://local.google.co.jp/maps?q=和歌山県和歌山市手平4丁目,,-,市街化区域,宅地,準工業地域,-,所有権,不要,"古家あり 

",相談,0100263-0033460,仲介,https://www.homes.co.jp/tochi/b-1002630033460/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
650万円",和歌山県和歌山市鳴神,134.75平方メートル (公簿) / 40.76坪,http://local.google.co.jp/maps?q=和歌山県和歌山市鳴神,,一方 ( 北 4m 私道 ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0033685,仲介,https://www.homes.co.jp/tochi/b-1002630033685/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
700万円",和歌山県和歌山市紀三井寺,216.29平方メートル (公簿) / 65.42坪,http://local.google.co.jp/maps?q=和歌山県和歌山市紀三井寺,,一方 ( 北西 4m 公道 間口14.9m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0031433,仲介,https://www.homes.co.jp/tochi/b-1002630031433/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
700万円",和歌山県和歌山市紀三井寺,216.29平方メートル (公簿) / 65.42坪,http://local.google.co.jp/maps?q=和歌山県和歌山市紀三井寺,,一方 ( 北西 4m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0134525-0000761,仲介,https://www.homes.co.jp/tochi/b-1345250000761/,ヤマト住建株式会社　和歌山店,和歌山県和歌山市小雑賀608-1,1,画像あり
"
720万円",和歌山県和歌山市市小路,228.09平方メートル (公簿) / 68.99坪,http://local.google.co.jp/maps?q=和歌山県和歌山市市小路,,( 東 2.3m 私道 間口14.5m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0100263-0033234,仲介,https://www.homes.co.jp/tochi/b-1002630033234/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像なし
"
810万円",和歌山県和歌山市東高松2丁目,78.7平方メートル (公簿) / 23.8坪,http://local.google.co.jp/maps?q=和歌山県和歌山市東高松2丁目,,一方 ( 南 5.2m 間口2m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0032329,仲介,https://www.homes.co.jp/tochi/b-1002630032329/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
646万円",和歌山県和歌山市鳴神,106.85平方メートル / 32.32坪,http://local.google.co.jp/maps?q=和歌山県和歌山市鳴神,,一方 ( 南西 ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり 

",即時,0100263-0033472,仲介,https://www.homes.co.jp/tochi/b-1002630033472/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
638万円",和歌山県和歌山市井辺,191.71平方メートル (公簿) / 57.99坪,http://local.google.co.jp/maps?q=和歌山県和歌山市井辺,,角地 ( 北 間口10m ) ( 東 間口19m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0100263-0033816,仲介,https://www.homes.co.jp/tochi/b-1002630033816/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
750万円",和歌山県和歌山市松江北1丁目,178.45平方メートル / 53.98坪,http://local.google.co.jp/maps?q=和歌山県和歌山市松江北1丁目,,二方 ( 南 4m ) ( 西 6m 公道 ),市街化区域,宅地,近隣商業地域,-,所有権,不要,"古家あり 

",相談,0100263-0032846,仲介,https://www.homes.co.jp/tochi/b-1002630032846/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
"
400万円",和歌山県海南市下津町丸田,182.44平方メートル (実測) / 55.18坪,http://local.google.co.jp/maps?q=和歌山県海南市下津町丸田,,一方 ( 北 4m 公道 間口2m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0100263-0033706,一般媒介,https://www.homes.co.jp/tochi/b-1002630033706/,アズマハウス株式会社,和歌山県和歌山市黒田１丁目２番17号　アズマハウスビル3階,1,画像あり
