価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
990万円,埼玉県幸手市大字上高野, 101.88㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県幸手市大字上高野,, 一方 ( 東 4m 私道 ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,空家備考施工会社：ポラスグループ物件の周辺地図を表示しています。建物の位置正確でない場合がございます。◎リフォームのご相談もポラスにお任せください。◎閑静な住宅街！◎空き家！, 相談, 3709122-0001969, 専任媒介,https://www.homes.co.jp/kodate/b-37091220001969/,ポラスグループ　株式会社中央住宅　ポラス住まいの情報館　春日部営業所,埼玉県春日部市中央１丁目2-5,2,画像あり
690万円,埼玉県大里郡寄居町大字富田, 160.76㎡備考～只今キャンペーン中～ご成約頂いたお客様にもれなく1万円分のクオカードを進呈中～ ・東武東上線「みなみ寄居」駅より徒歩25分の立地 ・16076平米、建物面積115.93平米のファミリー向き4LDK ・広々した空間で開放感があります ・南東向きワイドバルコニーで陽当たり通風良好 ・周辺環境充実した立地で日々のお買い物や生活が楽々 ・緑あふれた自然豊かな立地 ～お気軽にお問い合わせ下さい～,http://local.google.co.jp/maps?q=埼玉県大里郡寄居町大字富田,駐車場 空有 無料, 一方 ( 西 間口4m ), 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0145923-0000952, 仲介,https://www.homes.co.jp/kodate/b-1459230000952/,GLOBAL　HOLDINGS株式会社,埼玉県さいたま市大宮区大門町２丁目88　大野ビル,2,画像あり
950万円,埼玉県熊谷市御正新田332-2, 129.13㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県熊谷市御正新田332-2,,, 市街化調整区域, 宅地,, 平坦, 所有権, 不要,賃貸中, 相談, 0146808-0000008, 一般媒介,https://www.homes.co.jp/kodate/b-1468080000008/,株式会社住まいる館　エイブルネットワーク熊谷駅前店,埼玉県熊谷市筑波２丁目55　熊谷駅前ビル3F,2,画像あり
790万円,埼玉県熊谷市原島989-7, 144.19㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県熊谷市原島989-7,駐車場 空有 (2台) 無料 物件からの距離0m,, 市街化区域, 宅地, 第二種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0104864-0000098, 専任媒介,https://www.homes.co.jp/kodate/b-1048640000098/,株式会社中央ハウジング,埼玉県熊谷市曙町２丁目2-12-3曙町第一ビル,2,画像あり
500万円,埼玉県行田市大字荒木, 151.26㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県行田市大字荒木,駐車場 空有 無料, 一方 ( 東 公道 ), 市街化調整区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0145923-0000973, 一般媒介,https://www.homes.co.jp/kodate/b-1459230000973/,GLOBAL　HOLDINGS株式会社,埼玉県さいたま市大宮区大門町２丁目88　大野ビル,2,画像あり
980万円,埼玉県秩父郡横瀬町大字横瀬2154-8, 129.77㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県秩父郡横瀬町大字横瀬2154-8,, ( 南東 4.2m 私道 位置指定 間口4m ), 非線引区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,居住中, 2023年05月 上旬備考現状とし、契約不適合責任は免責となります。, 0131607-0000028, 一般媒介,https://www.homes.co.jp/kodate/b-1316070000028/,ＡＫホーム株式会社　本店,埼玉県秩父郡横瀬町大字横瀬6479-7,2,画像あり
780万円,埼玉県鴻巣市大間3丁目, 67㎡（公簿）備考～只今キャンペーン中～ご成約頂いたお客様にもれなく1万円分のクオカードを進呈中～ ・高崎線「鴻巣」駅より徒歩13分の立地 ・徒歩圏内に商業施設徒歩圏内に多数あり ・エルミこうのすショッピングモールまで徒歩16分 ・角地に立地～陽当たり良好 ・67.00平米、建物面積82.01平米、ファミリー向け3DK ・平成元年築の戸建 ・温水洗浄便座・追い炊き機能付き浴室 ～お気軽にお問い合わせ下さい～,http://local.google.co.jp/maps?q=埼玉県鴻巣市大間3丁目,駐車場 空無, 角地 ( 東 4m 公道 ) ( 北 6m 公道 ), 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0145923-0001064, 一般媒介,https://www.homes.co.jp/kodate/b-1459230001064/,GLOBAL　HOLDINGS株式会社,埼玉県さいたま市大宮区大門町２丁目88　大野ビル,2,画像あり
980万円,埼玉県熊谷市下奈良381-19, 190.54㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県熊谷市下奈良381-19,駐車場 空有 無料, 一方 ( 南西 4.5m 公道 ), 市街化調整区域, 宅地,, 平坦, 所有権, 不要,空家, 相談, 0001433-0000478, 専任媒介,https://www.homes.co.jp/kodate/b-14330000478/,株式会社クルマ不動産,埼玉県熊谷市本石２丁目200番地1,2,画像あり
480万円,埼玉県比企郡吉見町大字和名124-21, 166.13㎡,http://local.google.co.jp/maps?q=埼玉県比企郡吉見町大字和名124-21,,,, 宅地,,, 所有権, 不要,空家, 即時, 0144386-0000063, 専任媒介,https://www.homes.co.jp/kodate/b-1443860000063/,株式会社おひさまハウス,埼玉県東松山市元宿２丁目22-8-102,2,画像あり
570万円,埼玉県入間郡越生町大字麦原, 179.58㎡（公簿）備考～只今キャンペーン中～ご成約頂いたお客様にもれなく1万円分のクオカードを進呈中～ ・東武越生線「越生」駅まで徒歩1時間31分の立地 ・179.58平米、建物面積86.11平米、ゆとりの5DK ・収納スペース充実につき日々の片付けも安心 ・明るい陽射しが差し込む暖かな日常生活 ・駐車スペース完備 ・浴室、キッチン、トイレに窓が有りいつでも換気可能 ～お気軽にお問い合わせ下さい～,http://local.google.co.jp/maps?q=埼玉県入間郡越生町大字麦原,駐車場 空有 無料, 一方 ( 南東 6m ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0146666-0000237, 仲介,https://www.homes.co.jp/kodate/b-1466660000237/,株式会社GHC,埼玉県新座市東北２丁目39-7　生光商事ビル4F,2,画像あり
680万円,埼玉県比企郡吉見町長谷, 178.14㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県比企郡吉見町長谷,駐車場 空有 (2台) 無料, 一方, 市街化調整区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 3707130-0003133, 専任媒介,https://www.homes.co.jp/kodate/b-37071300003133/,株式会社東上不動産,埼玉県東松山市箭弓町１丁目12-22,2,画像あり
700万円,埼玉県加須市栄, 176.64㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県加須市栄,, 一方 ( 南西 4m ), 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 即時, 0147335-0000174, 仲介,https://www.homes.co.jp/kodate/b-1473350000174/,住宅情報館株式会社　久喜店,埼玉県久喜市久喜本903-1,2,画像あり
690万円,埼玉県大里郡寄居町大字富田4066-42, 160.76㎡,http://local.google.co.jp/maps?q=埼玉県大里郡寄居町大字富田4066-42,駐車場 空有 無料, 一方 ( 西 4m ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 0131245-0000052, 専任媒介,https://www.homes.co.jp/kodate/b-1312450000052/,株式会社拓新,埼玉県大里郡寄居町大字富田41-2,2,画像あり
730万円,埼玉県飯能市大字中藤上郷, 188.8㎡（公簿）,http://local.google.co.jp/maps?q=埼玉県飯能市大字中藤上郷,, 一方 ( 南西 4.2m 私道 間口9.1m ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,居住中備考土砂災害警戒区域（イエロー）。有姿渡し。１階キッチン東側に傾きが見受けられます。, 相談, 3904149-0000274, 専属専任媒介,https://www.homes.co.jp/kodate/b-39041490000274/,春田産業株式会社,埼玉県飯能市山手町1-2,2,画像あり
