価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
830万円",大阪府枚方市東船橋2丁目,68.99平方メートル (公簿) / 20.86坪,http://local.google.co.jp/maps?q=大阪府枚方市東船橋2丁目,,一方 ( 東 6m 公道 間口5.1m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0101442-0013088,専属専任媒介,https://www.homes.co.jp/tochi/b-1014420013088/,株式会社福屋不動産販売　京阪くずは店,大阪府枚方市楠葉並木２丁目29-2,1,画像あり
"
690万円",大阪府泉佐野市泉ケ丘4丁目,168.35平方メートル (公簿) / 50.92坪,http://local.google.co.jp/maps?q=大阪府泉佐野市泉ケ丘4丁目,,一方 ( 北東 6m 公道 間口13.8m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0101397-0017067,専属専任媒介,https://www.homes.co.jp/tochi/b-1013970017067/,株式会社福屋不動産販売　堺東店,大阪府堺市堺区一条通17-29,1,画像あり
"
880万円",大阪府東大阪市東石切町6丁目,95.8平方メートル / 28.97坪,http://local.google.co.jp/maps?q=大阪府東大阪市東石切町6丁目,,一方 ( 南 4m 間口6.7m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,0136967-0005685,仲介,https://www.homes.co.jp/tochi/b-1369670005685/,シロヤ住宅流通株式会社,大阪府守口市梶町１丁目25-1,1,画像あり
"
1,000万円",大阪府和泉市福瀬町174,334.77平方メートル / 101.26坪,http://local.google.co.jp/maps?q=大阪府和泉市福瀬町174,,三方 ( 北 8m 公道 間口5.6m ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0148578-0000008,一般媒介★,https://www.homes.co.jp/tochi/b-1485780000008/,株式会社ウイング,大阪府高石市高師浜４丁目7-3,1,画像あり
"
450万円",大阪府枚方市南船橋1丁目,74.89平方メートル (公簿) / 22.65坪,http://local.google.co.jp/maps?q=大阪府枚方市南船橋1丁目,,角地 ( 南 公道 間口5.2m ) ( 西 公道 間口13.2m ),市街化区域,宅地,第二種低層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0101389-0012330,仲介,https://www.homes.co.jp/tochi/b-1013890012330/,株式会社福屋不動産販売　香里店,大阪府寝屋川市香里南之町20-20　グランフィール香里園401号室,1,画像あり
"
660万円",大阪府堺市堺区永代町5丁,63.24平方メートル (公簿) / 19.13坪,http://local.google.co.jp/maps?q=大阪府堺市堺区永代町5丁,,二方 ( 北 3.6m 公道 間口4.5m ) ( 南 4m 私道 間口4.5m ),市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり 

",即時,0119924-0000283,専任媒介★,https://www.homes.co.jp/tochi/b-1199240000283/,アットホーム不動産株式会社,大阪府堺市堺区一条通１５－２６,1,画像あり
"
550万円",大阪府貝塚市久保,100平方メートル (公簿) / 30.25坪,http://local.google.co.jp/maps?q=大阪府貝塚市久保,,一方 ( 北西 4m 私道 間口6.8m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0131857-0000425,仲介,https://www.homes.co.jp/tochi/b-1318570000425/,ヤマト住建株式会社　南大阪店,大阪府貝塚市麻生中966-1,1,画像あり
"
980万円",大阪府和泉市王子町,637.46平方メートル (公簿) / 192.83坪,http://local.google.co.jp/maps?q=大阪府和泉市王子町,,一方 ( 東 4.6m 私道 間口28.5m ),市街化区域,宅地,第一種低層住居専用地域,その他,所有権,不要,"古家あり 

",即時,0009106-0000022,仲介,https://www.homes.co.jp/tochi/b-91060000022/,センチュリー21カレラホーム,大阪府高石市加茂３丁目3番16号,1,画像あり
"
380万円",大阪府貝塚市津田北町,82.96平方メートル (公簿) / 25.09坪,http://local.google.co.jp/maps?q=大阪府貝塚市津田北町,,( 北 9m 公道 ) ( 西 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0131857-0000333,仲介,https://www.homes.co.jp/tochi/b-1318570000333/,ヤマト住建株式会社　南大阪店,大阪府貝塚市麻生中966-1,1,画像あり
"
590万円",大阪府大東市寺川5丁目,55.99平方メートル / 16.93坪,http://local.google.co.jp/maps?q=大阪府大東市寺川5丁目,,一方 ( 東 4.4m 私道 位置指定 間口4.8m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0115664-0000889,仲介,https://www.homes.co.jp/tochi/b-1156640000889/,株式会社スミコー,大阪府大東市赤井１丁目１番１０号,1,画像あり
"
400万円",大阪府泉南郡岬町淡輪,185平方メートル (公簿) / 55.96坪,http://local.google.co.jp/maps?q=大阪府泉南郡岬町淡輪,,一方 ( 西 4.4m 公道 位置指定 ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0131857-0000385,仲介,https://www.homes.co.jp/tochi/b-1318570000385/,ヤマト住建株式会社　南大阪店,大阪府貝塚市麻生中966-1,1,画像あり
"
980万円",大阪府泉佐野市長滝,103.7平方メートル (公簿) / 31.36坪,http://local.google.co.jp/maps?q=大阪府泉佐野市長滝,,一方 ( 西 4.5m 私道 間口8.5m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0114980-0000933,一般媒介,https://www.homes.co.jp/tochi/b-1149800000933/,株式会社情報都市,大阪府泉佐野市上瓦屋９１０番地の１,1,画像あり
"
400万円",大阪府松原市東新町5丁目,33.48平方メートル (公簿) / 10.12坪,http://local.google.co.jp/maps?q=大阪府松原市東新町5丁目,,-,市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0135584-0000036,専属専任媒介★,https://www.homes.co.jp/tochi/b-1355840000036/,株式会社神永,大阪府堺市堺区向陵中町４丁3-10,1,画像あり
