価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
980万円",奈良県大和高田市大字根成柿,183.89平方メートル (公簿) / 55.62坪,http://local.google.co.jp/maps?q=奈良県大和高田市大字根成柿,,一方 ( 西 5.4m 公道 間口11.5m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0008879-0005329,仲介,https://www.homes.co.jp/tochi/b-88790005329/,センチュリー21近畿不動産販売大和高田店,奈良県大和高田市栄町3-18,1,画像あり
"
380万円",奈良県生駒郡平群町春日丘2丁目,244.36平方メートル (公簿) / 73.91坪,http://local.google.co.jp/maps?q=奈良県生駒郡平群町春日丘2丁目,,二方 ( 北 5m 公道 間口16.7m ) ( 西 3.7m 公道 間口11.8m ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり 

",相談,0101568-0011698,専属専任媒介,https://www.homes.co.jp/tochi/b-1015680011698/,株式会社福屋不動産販売 大和郡山店,奈良県大和郡山市朝日町1番9号　にし茂とビル1階,1,画像あり
"
690万円",奈良県大和高田市甘田町,148.29平方メートル (公簿) / 44.85坪,http://local.google.co.jp/maps?q=奈良県大和高田市甘田町,,角地 ( 北 2.6m 公道 間口11m ) ( 東 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0101404-0013892,仲介,https://www.homes.co.jp/tochi/b-1014040013892/,株式会社福屋不動産販売 奈良八木店,奈良県橿原市八木町２丁目5-7,1,画像あり
"
780万円",奈良県大和郡山市九条町,131.63平方メートル (公簿) / 39.81坪,http://local.google.co.jp/maps?q=奈良県大和郡山市九条町,,一方 ( 南 4m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0121662-0001353,専任媒介★,https://www.homes.co.jp/tochi/b-1216620001353/,原田建設,奈良県大和郡山市新木町３６６－２,1,画像あり
"
550万円",奈良県奈良市西ノ京町,311.67平方メートル (公簿) / 94.28坪,http://local.google.co.jp/maps?q=奈良県奈良市西ノ京町,,三方 ( 北 2.4m 公道 ) ( 南 2.7m 公道 ) ( 西 ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0101407-0013527,仲介,https://www.homes.co.jp/tochi/b-1014070013527/,株式会社福屋不動産販売 奈良店,奈良県奈良市大宮町７丁目2番5号 田村ビル1階,1,画像あり
"
300万円",奈良県大和高田市大字池田,52.16平方メートル / 15.77坪,http://local.google.co.jp/maps?q=奈良県大和高田市大字池田,,一方 ( 2.5m 間口4m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0101404-0013844,仲介,https://www.homes.co.jp/tochi/b-1014040013844/,株式会社福屋不動産販売 奈良八木店,奈良県橿原市八木町２丁目5-7,1,画像あり
"
780万円",奈良県奈良市白毫寺町138-10,122.93平方メートル / 37.18坪,http://local.google.co.jp/maps?q=奈良県奈良市白毫寺町138-10,,一方 ( 西 3.1m 公道 間口6.2m ),市街化区域,宅地,第一種中高層住居専用地域,高台,所有権,不要,"古家あり 

",即時,0143718-0000025,売主,https://www.homes.co.jp/tochi/b-1437180000025/,福本笑事株式会社,大阪府大阪市東住吉区田辺１丁目2-10　ハイツ・エムーユ1A,1,画像あり
"
300万円",奈良県大和高田市大字池田,52.16平方メートル / 15.77坪,http://local.google.co.jp/maps?q=奈良県大和高田市大字池田,,一方 ( 2.5m 間口4m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0101929-0014158,仲介,https://www.homes.co.jp/tochi/b-1019290014158/,株式会社福屋不動産販売 大和高田店,奈良県大和高田市西三倉堂１丁目6-28,1,画像あり
"
690万円",奈良県大和高田市甘田町,148.29平方メートル (公簿) / 44.85坪,http://local.google.co.jp/maps?q=奈良県大和高田市甘田町,,角地 ( 北 2.6m 公道 間口11m ) ( 東 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0101929-0013977,仲介,https://www.homes.co.jp/tochi/b-1019290013977/,株式会社福屋不動産販売 大和高田店,奈良県大和高田市西三倉堂１丁目6-28,1,画像あり
"
300万円",奈良県橿原市西池尻町,86.04平方メートル (公簿) / 26.02坪,http://local.google.co.jp/maps?q=奈良県橿原市西池尻町,,一方 ( 北 4m 公道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0101929-0013030,仲介,https://www.homes.co.jp/tochi/b-1019290013030/,株式会社福屋不動産販売 大和高田店,奈良県大和高田市西三倉堂１丁目6-28,1,画像あり
"
298万円",奈良県奈良市古市町,538.44平方メートル (公簿) / 162.87坪,http://local.google.co.jp/maps?q=奈良県奈良市古市町,,一方 ( 西 6.5m 公道 間口42.6m ),市街化区域,宅地,第一種中高層住居専用地域,高台,所有権,不要,"古家あり 

",相談,0008650-0001638,専属専任媒介,https://www.homes.co.jp/tochi/b-86500001638/,センチュリー21ハウスマーケット京都店,京都府京都市伏見区竹田中川原町387伏見リンサンハイツ105,1,画像あり
"
850万円",奈良県北葛城郡王寺町本町5丁目,195.02平方メートル (公簿) / 58.99坪,http://local.google.co.jp/maps?q=奈良県北葛城郡王寺町本町5丁目,,一方 ( 南東 4.3m 公道 間口12m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0141316-0001073,仲介,https://www.homes.co.jp/tochi/b-1413160001073/,株式会社ダイコー　家・不動産売却センター,奈良県北葛城郡上牧町片岡台２丁目6-10,1,画像あり
"
300万円",奈良県橿原市西池尻町,86.04平方メートル (公簿) / 26.02坪,http://local.google.co.jp/maps?q=奈良県橿原市西池尻町,,一方 ( 北 4m 公道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0101404-0012486,仲介,https://www.homes.co.jp/tochi/b-1014040012486/,株式会社福屋不動産販売 奈良八木店,奈良県橿原市八木町２丁目5-7,1,画像あり
"
300万円",奈良県橿原市西池尻町29番地32,86.04平方メートル (公簿) / 26.02坪,http://local.google.co.jp/maps?q=奈良県橿原市西池尻町29番地32,,-,市街化調整区域,宅地,-,-,所有権,不要,"古家あり 

",即時,0141444-0000025,専任媒介★,https://www.homes.co.jp/tochi/b-1414440000025/,株式会社朝日不動産,奈良県大和高田市旭北町6番23,1,画像あり
"
690万円",奈良県大和高田市甘田町,148.29平方メートル (公簿) / 44.85坪,http://local.google.co.jp/maps?q=奈良県大和高田市甘田町,,角地 ( 北 2.6m 公道 間口11m ) ( 東 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0110153-0012358,仲介,https://www.homes.co.jp/tochi/b-1101530012358/,株式会社福屋不動産販売 香芝店,奈良県香芝市瓦口２２８１番地１０１,1,画像あり
