価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
380万円,宮城県刈田郡蔵王町遠刈田温泉字新地東裏山, 132㎡（公簿）,http://local.google.co.jp/maps?q=宮城県刈田郡蔵王町遠刈田温泉字新地東裏山,,, 非線引区域, 山林, 無指定,, 所有権, 不要,居住中, 相談, 0104262-0009451, 専任媒介,https://www.homes.co.jp/kodate/b-1042620009451/,東海住宅株式会社 仙台支店,宮城県仙台市青葉区北根黒松2-30,2,画像あり
999万円,宮城県大崎市岩出山字通丁99-2, 404.25㎡（公簿）,http://local.google.co.jp/maps?q=宮城県大崎市岩出山字通丁99-2,駐車場 空有 (3台) 無料備考本物件は住宅ローン減税が適用されます。詳しくはお問い合わせください。 ● 間取り・駐車場・庭 　・個室2部屋の2DK 　・嬉しいカースペース3台 　・お庭でバーベキューが楽しめますね  ● 周辺施設 　・ウジエスーパー岩出山店様(1400m)車3分 　・ファミリーマート岩出山店様(450ｍ)車1分  随時お問い合わせ可能ですので、お気軽にお問合せください。, 一方 ( 北東 8m 公道 ), 非線引区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 即時, 0137293-0000256, 売主,https://www.homes.co.jp/kodate/b-1372930000256/,株式会社カチタス　大崎店,宮城県大崎市古川福沼１丁目14-22,2,画像あり
990万円,宮城県大崎市鹿島台木間塚字石名坂, 354㎡（公簿）,http://local.google.co.jp/maps?q=宮城県大崎市鹿島台木間塚字石名坂,駐車場 空有 (3台) 無料, 一方 ( 南 4m 私道 間口11.7m ), 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0132950-0014924, 専任媒介,https://www.homes.co.jp/kodate/b-1329500014924/,株式会社永大ハウス工業　仙台本店,宮城県仙台市若林区荒町211番地,2,画像あり
850万円,宮城県柴田郡川崎町支倉台1丁目, 240.07㎡（公簿）,http://local.google.co.jp/maps?q=宮城県柴田郡川崎町支倉台1丁目,駐車場 空有 (5台) 無料, 一方 ( 東 7m 間口16m ), 非線引区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,空家, 即時, 0124252-0016083, 一般媒介,https://www.homes.co.jp/kodate/b-1242520016083/,株式会社永大ハウス工業　仙台駅前店,宮城県仙台市宮城野区榴岡４丁目12-7,2,画像なし
790万円,宮城県宮城郡利府町赤沼字中倉54-13, 252.3㎡,http://local.google.co.jp/maps?q=宮城県宮城郡利府町赤沼字中倉54-13,駐車場 空有 (3台) 無料, 一方 ( 北東 3.8m 公道 ), 市街化調整区域, 宅地,, 平坦, 所有権, 不要,空家, 即時, 0146724-0000097, 仲介,https://www.homes.co.jp/kodate/b-1467240000097/,株式会社ミロクコンサル,東京都練馬区豊玉北４丁目27-4,2,画像あり
930万円,宮城県亘理郡亘理町字先達前, 305.98㎡（公簿）,http://local.google.co.jp/maps?q=宮城県亘理郡亘理町字先達前,駐車場 空有 (1台) 無料, 一方 ( 西 6m 公道 間口14m ), 非線引区域, 宅地, 準住居地域,, 所有権, 不要,居住中, 相談, 0110220-0017677, 専任媒介,https://www.homes.co.jp/kodate/b-1102200017677/,株式会社永大ハウス工業　富沢店,宮城県仙台市太白区富沢１丁目５－１,2,画像あり
480万円,宮城県刈田郡蔵王町遠刈田温泉字清水原," 1,095㎡（公簿）",http://local.google.co.jp/maps?q=宮城県刈田郡蔵王町遠刈田温泉字清水原,駐車場 空有 (2台) 無料, 二方 ( 北 6m 私道 間口23m ) ( 南 6m 私道 間口23m ), 非線引区域, 原野, 無指定,, 所有権, 不要,空家備考別荘管理費：4180円/月 ※詳細と異なる際は優先といたします, 即時, 0124252-0015853, 一般媒介,https://www.homes.co.jp/kodate/b-1242520015853/,株式会社永大ハウス工業　仙台駅前店,宮城県仙台市宮城野区榴岡４丁目12-7,2,画像あり
400万円,宮城県遠田郡涌谷町涌谷字下町, 132.8㎡（公簿）,http://local.google.co.jp/maps?q=宮城県遠田郡涌谷町涌谷字下町,駐車場 無,, 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 即時, 0120266-0017824, 一般媒介,https://www.homes.co.jp/kodate/b-1202660017824/,株式会社永大ハウス工業　若林店,宮城県仙台市若林区遠見塚１丁目６－２３,2,画像あり
420万円,宮城県登米市米山町西野字十日町, 458.64㎡（公簿）,http://local.google.co.jp/maps?q=宮城県登米市米山町西野字十日町,駐車場 空有 (4台) 無料, 一方 ( 東 5.9m 公道 間口25.8m ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0109622-0020219, 専任媒介,https://www.homes.co.jp/kodate/b-1096220020219/,株式会社永大ハウス工業 南光台店,宮城県仙台市泉区南光台４丁目6-36,2,画像あり
450万円,宮城県気仙沼市松川54-14, 207.83㎡（公簿）,http://local.google.co.jp/maps?q=宮城県気仙沼市松川54-14,駐車場 空有 無料, 一方 ( 東 4m 公道 間口4m ), 非線引区域, 宅地, 準工業地域, 平坦, その他, 不要,-, 即時, 3221516-0000013, 専任媒介,https://www.homes.co.jp/kodate/b-32215160000013/,コイワ不動産,宮城県気仙沼市切通182-1,2,画像あり
650万円,宮城県角田市角田字田町, 96.49㎡（公簿）,http://local.google.co.jp/maps?q=宮城県角田市角田字田町,, 一方 ( 南 ),, 宅地,, 平坦, 所有権, 不要,-, 即時, 0148511-0000001, 一般媒介,https://www.homes.co.jp/kodate/b-1485110000001/,有限会社福島エル・シィ・サービス,宮城県角田市藤田字竹ノ内22-1,2,画像あり
780万円,宮城県栗原市築館高田3丁目," 1,356.06㎡（公簿）",http://local.google.co.jp/maps?q=宮城県栗原市築館高田3丁目,駐車場 空有 (10台) 無料, 一方 ( 南 3.9m 私道 間口2m ), 非線引区域,, 第一種住居地域,, 所有権, 不要,空家, 相談, 0104262-0009431, 仲介,https://www.homes.co.jp/kodate/b-1042620009431/,東海住宅株式会社 仙台支店,宮城県仙台市青葉区北根黒松2-30,2,画像あり
980万円,宮城県遠田郡美里町北浦字待江, 306.86㎡,http://local.google.co.jp/maps?q=宮城県遠田郡美里町北浦字待江,駐車場 空有 (2台) 無料, 一方, 市街化区域, 宅地, 第一種住居地域,, 所有権, 不要,空家, 相談, 0141947-0000152, 一般媒介,https://www.homes.co.jp/kodate/b-1419470000152/,株式会社ユアフォーム,宮城県仙台市若林区荒井東１丁目3-1　イーストフォート1-C,2,画像あり
300万円,宮城県白石市郡山字虎子沢山, 272.03㎡（公簿）,http://local.google.co.jp/maps?q=宮城県白石市郡山字虎子沢山,駐車場 空有 (1台) 無料, 角地 ( 北東 10m 公道 間口21.9m ) ( 北西 4.3m 公道 間口18m ), 非線引区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0127317-0014772, 専任媒介,https://www.homes.co.jp/kodate/b-1273170014772/,株式会社永大ハウス工業　名取店,宮城県名取市大手町４丁目14-8,2,画像あり
