価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
750万円",宮崎県宮崎市大字島之内,153.34平方メートル (公簿) / 46.38坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大字島之内,,一方,市街化区域,宅地,第二種住居地域,平坦,所有権,要,"古家あり 

",相談,0141197-0000216,一般媒介,https://www.homes.co.jp/tochi/b-1411970000216/,株式会社クボタ住宅　売買事業部,宮崎県宮崎市大字恒久5068番地1,1,画像あり
"
850万円",宮崎県延岡市桜園町120-3,198.29平方メートル (公簿) / 59.98坪,http://local.google.co.jp/maps?q=宮崎県延岡市桜園町120-3,,一方 ( 西 4m 公道 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,0122079-0000216,一般媒介★,https://www.homes.co.jp/tochi/b-1220790000216/,株式会社カチタス 延岡店,宮崎県延岡市西階町１丁目２４０８‐１０,1,画像あり
"
630万円",宮崎県宮崎市大塚町権現前,107.25平方メートル / 32.44坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大塚町権現前,,( 北 4m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,3222029-0000556,仲介,https://www.homes.co.jp/tochi/b-32220290000556/,セントラル住宅有限会社,宮崎県宮崎市南高松町6番23号,1,画像あり
"
640万円",宮崎県宮崎市大塚町,107.25平方メートル (実測) / 32.44坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大塚町,,一方 ( 北 4m 私道 位置指定 間口14m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0141197-0000324,一般媒介,https://www.homes.co.jp/tochi/b-1411970000324/,株式会社クボタ住宅　売買事業部,宮崎県宮崎市大字恒久5068番地1,1,画像あり
"
800万円",宮崎県宮崎市花ケ島町野中田2056-7,167.01平方メートル (公簿) / 50.52坪,http://local.google.co.jp/maps?q=宮崎県宮崎市花ケ島町野中田2056-7,,-,市街化調整区域,宅地,-,平坦,所有権,要,"古家あり 

",相談,3222029-0000231,一般媒介★,https://www.homes.co.jp/tochi/b-32220290000231/,セントラル住宅有限会社,宮崎県宮崎市南高松町6番23号,1,画像あり
"
1,000万円",宮崎県宮崎市大字恒久6581-1,158.91平方メートル / 48.07坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大字恒久6581-1,,( 西 4m 公道 ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,3222029-0000615,仲介,https://www.homes.co.jp/tochi/b-32220290000615/,セントラル住宅有限会社,宮崎県宮崎市南高松町6番23号,1,画像あり
"
550万円",宮崎県都城市鷹尾3丁目4482-4,283.63平方メートル / 85.79坪,http://local.google.co.jp/maps?q=宮崎県都城市鷹尾3丁目4482-4,,一方 ( 東 4m 公道 間口6m ),非線引区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

","相談
（解体整地、確定測量後）",0145906-0000026,売主★,https://www.homes.co.jp/tochi/b-1459060000026/,ビッグ不動産,宮崎県都城市郡元町3205-14　くすり館あい店舗　北側,1,画像あり
"
990万円",宮崎県宮崎市月見ケ丘2丁目,183.99平方メートル (公簿) / 55.65坪,http://local.google.co.jp/maps?q=宮崎県宮崎市月見ケ丘2丁目,,一方 ( 南 3.5m 公道 間口16.4m ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり 

",相談,0008759-0001721,専属専任媒介,https://www.homes.co.jp/tochi/b-87590001721/,センチュリー21トータルカンパニー,宮崎県宮崎市柳丸町104-1-1F,1,画像あり
"
500万円",宮崎県延岡市北川町川内名4305-29,"2,408.47平方メートル (公簿) / 728.56坪",http://local.google.co.jp/maps?q=宮崎県延岡市北川町川内名4305-29,,-,都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0136940-0000055,代理★,https://www.homes.co.jp/tochi/b-1369400000055/,株式会社トータツ,東京都中野区東中野１丁目58-16-203,1,画像あり
"
580万円",宮崎県東諸県郡国富町大字須志田,588.67平方メートル (公簿) / 178.07坪,http://local.google.co.jp/maps?q=宮崎県東諸県郡国富町大字須志田,,二方 ( 南 4m 公道 間口42m ) ( 北 4m 公道 間口35m ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129778-0000234,専任媒介,https://www.homes.co.jp/tochi/b-1297780000234/,ハウスドゥ！宮崎大塚店　株式会社ヒラヌマ,宮崎県宮崎市大塚町原ノ前1622番地,1,画像あり
"
637万円",宮崎県宮崎市田野町甲5626,421.68平方メートル (公簿) / 127.55坪,http://local.google.co.jp/maps?q=宮崎県宮崎市田野町甲5626,,一方 ( 南 12m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",即時,3222072-0000038,一般媒介,https://www.homes.co.jp/tochi/b-32220720000038/,有限会社りこうハウス,宮崎県宮崎市橘通西２丁目5-8,1,画像あり
"
1,000万円",宮崎県宮崎市大字赤江,331.15平方メートル (公簿) / 100.17坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大字赤江,,一方 ( 南西 4m 公道 間口12m ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり 

",即時,0141197-0000313,一般媒介,https://www.homes.co.jp/tochi/b-1411970000313/,株式会社クボタ住宅　売買事業部,宮崎県宮崎市大字恒久5068番地1,1,画像あり
"
680万円",宮崎県宮崎市大字瓜生野,399平方メートル (公簿) / 120.69坪,http://local.google.co.jp/maps?q=宮崎県宮崎市大字瓜生野,,一方 ( 南 4m 公道 間口14m ),市街化調整区域,畑,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129778-0000242,専任媒介,https://www.homes.co.jp/tochi/b-1297780000242/,ハウスドゥ！宮崎大塚店　株式会社ヒラヌマ,宮崎県宮崎市大塚町原ノ前1622番地,1,画像あり
"
600万円",宮崎県都城市平塚町2639-7,274.36平方メートル / 82.99坪,http://local.google.co.jp/maps?q=宮崎県都城市平塚町2639-7,,角地 ( 北東 4.5m 公道 間口34m ) ( 南東 3.5m 公道 間口11m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

","相談
（解体整地後）",0145906-0000035,一般媒介,https://www.homes.co.jp/tochi/b-1459060000035/,ビッグ不動産,宮崎県都城市郡元町3205-14　くすり館あい店舗　北側,1,画像あり
"
580万円",宮崎県宮崎市鶴島3丁目,106.99平方メートル (公簿) / 32.36坪,http://local.google.co.jp/maps?q=宮崎県宮崎市鶴島3丁目,,一方 ( 西 4m 私道 ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり 

",相談,0009107-0000162,専属専任媒介,https://www.homes.co.jp/tochi/b-91070000162/,センチュリー21明大不動産,宮崎県宮崎市吉村町北原甲１４３０番地１,1,画像あり
"
600万円",宮崎県都城市平塚町2639-4の一部,274.36平方メートル / 82.99坪,http://local.google.co.jp/maps?q=宮崎県都城市平塚町2639-4の一部,,角地 ( 北東 公道 ) ( 南東 公道 ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0127450-0000915,一般媒介,https://www.homes.co.jp/tochi/b-1274500000915/,株式会社オーリック不動産　売買不動産鹿屋,鹿児島県鹿屋市札元２丁目3684-5,1,画像あり
"
530万円",宮崎県西都市大字上三財5421、5421番、5420番1、5420番4,965.28平方メートル (公簿) / 291.99坪,http://local.google.co.jp/maps?q=宮崎県西都市大字上三財5421、5421番、5420番1、5420番4,,一方 ( 南 4m 公道 間口28m ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",即時,3222018-0000126,専任媒介,https://www.homes.co.jp/tochi/b-32220180000126/,宮崎西部不動産,宮崎県宮崎市大字小松1763番地36,1,画像あり
"
280万円",宮崎県西都市大字三納3379,602.97平方メートル (公簿) / 182.39坪,http://local.google.co.jp/maps?q=宮崎県西都市大字三納3379,,一方 ( 南 2m 公道 間口25m ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,3222067-0000062,専任媒介,https://www.homes.co.jp/tochi/b-32220670000062/,睦屋商事株式会社,宮崎県宮崎市高千穂通２丁目1番2号,1,画像あり
"
700万円",宮崎県都城市高崎町大牟田2503-1・2502-2・2502-3・2502-6,"1,961.97平方メートル (公簿) / 593.49坪",http://local.google.co.jp/maps?q=宮崎県都城市高崎町大牟田2503-1・2502-2・2502-3・2502-6,,一方 ( 東 公道 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0127450-0000901,一般媒介,https://www.homes.co.jp/tochi/b-1274500000901/,株式会社オーリック不動産　売買不動産鹿屋,鹿児島県鹿屋市札元２丁目3684-5,1,画像あり
"
880万円",宮崎県宮崎市清武町加納,358.2平方メートル (公簿) / 108.35坪,http://local.google.co.jp/maps?q=宮崎県宮崎市清武町加納,,一方 ( 南 7m 公道 間口2.6m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0141197-0000265,専任媒介,https://www.homes.co.jp/tochi/b-1411970000265/,株式会社クボタ住宅　売買事業部,宮崎県宮崎市大字恒久5068番地1,1,画像あり
"
340万円",宮崎県都城市安久町,519.1平方メートル (実測) / 157.02坪,http://local.google.co.jp/maps?q=宮崎県都城市安久町,,一方 ( 東 3.9m 公道 間口5m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

","相談
（解体整地後）",0145906-0000013,売主★,https://www.homes.co.jp/tochi/b-1459060000013/,ビッグ不動産,宮崎県都城市郡元町3205-14　くすり館あい店舗　北側,1,画像なし
"
750万円",宮崎県宮崎市高岡町五町184,386.75平方メートル (公簿) / 116.99坪,http://local.google.co.jp/maps?q=宮崎県宮崎市高岡町五町184,,一方 ( 南 間口8.5m ),市街化区域,宅地,近隣商業地域,-,所有権,不要,"古家あり 

",相談,3222075-0000029,専任媒介,https://www.homes.co.jp/tochi/b-32220750000029/,株式会社ホームステージ　宮崎支店,宮崎県宮崎市船塚１丁目47番地,1,画像あり
"
450万円",宮崎県北諸県郡三股町大字蓼池3630-22,229.42平方メートル (公簿) / 69.39坪,http://local.google.co.jp/maps?q=宮崎県北諸県郡三股町大字蓼池3630-22,,一方 ( 西 5m 公道 間口20m ),非線引区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0145906-0000034,専任媒介★,https://www.homes.co.jp/tochi/b-1459060000034/,ビッグ不動産,宮崎県都城市郡元町3205-14　くすり館あい店舗　北側,1,画像なし
