価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
800万円",山口県防府市国衙5丁目,680.1平方メートル (公簿) / 205.73坪,http://local.google.co.jp/maps?q=山口県防府市国衙5丁目,,接道なし,市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0144311-0000420,一般媒介,https://www.homes.co.jp/tochi/b-1443110000420/,ハウスドゥ！防府寿町店　株式会社田村ビルズ,山口県防府市寿町4-17,1,画像あり
"
470万円",山口県下関市彦島竹ノ子島町,196.33平方メートル (公簿) / 59.38坪,http://local.google.co.jp/maps?q=山口県下関市彦島竹ノ子島町,,二方,市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0113777-0000974,専任媒介,https://www.homes.co.jp/tochi/b-1137770000974/,三和地所株式会社,山口県下関市大字伊倉２７７番１２,1,画像あり
"
200万円",山口県下関市前田2丁目73-4,464.39平方メートル (公簿) / 140.47坪,http://local.google.co.jp/maps?q=山口県下関市前田2丁目73-4,,一方 ( 西 3m 私道 間口12m ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり 

",相談,0133758-0002502,一般媒介★,https://www.homes.co.jp/tochi/b-1337580002502/,緑都開発株式会社,山口県下関市一の宮町２丁目17-2,1,画像あり
"
800万円",山口県周南市中畷町,212.8平方メートル / 64.37坪,http://local.google.co.jp/maps?q=山口県周南市中畷町,,接道なし,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0141215-0000597,一般媒介,https://www.homes.co.jp/tochi/b-1412150000597/,ハウスドゥ！周南城ケ丘店　株式会社田村ビルズ,山口県周南市城ケ丘１丁目2-32,1,画像あり
"
880万円",山口県下関市長府中土居北町,192.72平方メートル (公簿) / 58.29坪,http://local.google.co.jp/maps?q=山口県下関市長府中土居北町,,一方 ( 北 4m 私道 間口9m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0144505-0000367,専任媒介,https://www.homes.co.jp/tochi/b-1445050000367/,ハウスドゥ！新下関店　株式会社田村ビルズ,山口県下関市勝谷新町１丁目10-7,1,画像あり
"
500万円",山口県下関市豊北町大字滝部,296平方メートル (公簿) / 89.54坪,http://local.google.co.jp/maps?q=山口県下関市豊北町大字滝部,,一方 ( 南 6m 公道 間口17m ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0113777-0000089,専任媒介,https://www.homes.co.jp/tochi/b-1137770000089/,三和地所株式会社,山口県下関市大字伊倉２７７番１２,1,画像あり
"
480万円",山口県防府市大字仁井令,199.55平方メートル / 60.36坪,http://local.google.co.jp/maps?q=山口県防府市大字仁井令,,一方 ( 東 8m 公道 間口4m ),市街化区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",即時,0144311-0000627,仲介,https://www.homes.co.jp/tochi/b-1443110000627/,ハウスドゥ！防府寿町店　株式会社田村ビルズ,山口県防府市寿町4-17,1,画像あり
"
545万円",山口県宇部市東梶返3丁目,163.87平方メートル (公簿) / 49.57坪,http://local.google.co.jp/maps?q=山口県宇部市東梶返3丁目,,一方 ( 南 4m ),非線引区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0125808-0001134,一般媒介,https://www.homes.co.jp/tochi/b-1258080001134/,株式会社田村ビルズ　宇部店,山口県宇部市東藤曲１丁目6-15,1,画像あり
"
503.69万円",山口県防府市大字田島,265.1平方メートル / 80.19坪,http://local.google.co.jp/maps?q=山口県防府市大字田島,,一方 ( 東 ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0144311-0000547,仲介,https://www.homes.co.jp/tochi/b-1443110000547/,ハウスドゥ！防府寿町店　株式会社田村ビルズ,山口県防府市寿町4-17,1,画像あり
"
620万円",山口県宇部市則貞2丁目,314.87平方メートル (公簿) / 95.24坪,http://local.google.co.jp/maps?q=山口県宇部市則貞2丁目,,接道なし,非線引区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0125808-0001479,一般媒介,https://www.homes.co.jp/tochi/b-1258080001479/,株式会社田村ビルズ　宇部店,山口県宇部市東藤曲１丁目6-15,1,画像あり
