価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
890万円,山形県西村山郡河北町西里5105-1," 1,228.2㎡（公簿）",http://local.google.co.jp/maps?q=山形県西村山郡河北町西里5105-1,駐車場 空有 (3台) 無料, 一方 ( 南東 6.5m 公道 ), 非線引区域, 宅地,, 高台, 所有権, 不要,空家備考接道要件を満たすため隣地の農地分筆手続きが終了して、再建築可能となりました。作業所が隣にあるため多少の機械音あり。給水管の越境あり（覚書取得済）。通路の隣家への使用許可済、引き渡し。平成12年築、高台につき3階建、大型住宅11DKプラスDK、敷地面積約1228平方メートル、車寄せスペースあり、駐車3台以上、3階に囲炉裏がある部屋あり、キッチン3か所あり、将来田舎暮らし・別荘保有などにも最適です。シェアハウス・寮・各種施設等の利用に最適です。現在空室です。引き渡し（不具合箇所あり）、2階部分一部傾きあり、屋根修繕済。内見希望の場合は事前に余裕を持ってミロクコンサルまで, 即時, 0146724-0000121, 仲介,https://www.homes.co.jp/kodate/b-1467240000121/,株式会社ミロクコンサル,東京都練馬区豊玉北４丁目27-4,2,画像あり
930万円,山形県米沢市吹屋敷町, 330.63㎡（公簿）,http://local.google.co.jp/maps?q=山形県米沢市吹屋敷町,駐車場 空有 (4台) 無料, 一方 ( 北 6m 公道 間口15m ), 非線引区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0007316-0006451, 一般媒介,https://www.homes.co.jp/kodate/b-73160006451/,センチュリー21クリエイト礼文,山形県山形市南原町２丁目7-39,2,画像あり
630万円,山形県米沢市関根, 991㎡（公簿）,http://local.google.co.jp/maps?q=山形県米沢市関根,駐車場 空有 無料,, 区域外, 宅地, 無指定, 平坦, 所有権, 不要,居住中, 相談, 3221154-0000005, 一般媒介,https://www.homes.co.jp/kodate/b-32211540000005/,株式会社Ａｏｉ,山形県米沢市大町４丁目1番30,2,画像あり
280万円,山形県鶴岡市板井川字宮の下282, 553.48㎡,http://local.google.co.jp/maps?q=山形県鶴岡市板井川字宮の下282,, ( 北東 5.5m 公道 間口16m ) ( 北 5m 間口32m ), 市街化調整区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0115051-0000686, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000686/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
780万円,山形県鶴岡市添川字中山321, 212.96㎡（公簿）,http://local.google.co.jp/maps?q=山形県鶴岡市添川字中山321,, 一方 ( 東 7.5m 公道 間口21.5m ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0126085-0000111, 一般媒介,https://www.homes.co.jp/kodate/b-1260850000111/,小形アカデミーホーム株式会社,山形県山形市白山１丁目1番3号,2,画像あり
800万円,山形県上山市永野字蔵王山国有林, 963.56㎡（実測）,http://local.google.co.jp/maps?q=山形県上山市永野字蔵王山国有林,駐車場 空有 (4台) 無料, 一方 ( 北 7m 公道 間口26.4m ), 区域外, 山林, 無指定, 傾斜地, 普通賃借権, 不要,空家, 相談, 0007316-0006554, 一般媒介,https://www.homes.co.jp/kodate/b-73160006554/,センチュリー21クリエイト礼文,山形県山形市南原町２丁目7-39,2,画像あり
549万円,山形県北村山郡大石田町大字大石田丙144, 781.88㎡（公簿）,http://local.google.co.jp/maps?q=山形県北村山郡大石田町大字大石田丙144,駐車場 空有 (4台) 無料備考駐車場：車庫2台・カースペース　山交バス「東町口」より徒歩1分(10ｍ)  大石田郵便局まで約50ｍ（徒歩1分）。, 二方 ( 南西 10m 公道 ) ( 北 2m 公道 ), 非線引区域, 宅地, 近隣商業地域, 平坦, 所有権, 不要,空家, 即時, 0121996-0000285, 売主,https://www.homes.co.jp/kodate/b-1219960000285/,株式会社カチタス 山形店,山形県山形市鉄砲町３丁目３-１１　フェアリーテール　2-E,2,画像あり
500万円,山形県西置賜郡飯豊町大字椿, 954.75㎡（公簿）,http://local.google.co.jp/maps?q=山形県西置賜郡飯豊町大字椿,駐車場 空有 (2台) 無料, 一方 ( 南西 8.3m 公道 間口39m ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 0007316-0006200, 専任媒介,https://www.homes.co.jp/kodate/b-73160006200/,センチュリー21クリエイト礼文,山形県山形市南原町２丁目7-39,2,画像あり
999万円,山形県村山市大字本飯田271, 765.34㎡（公簿）,http://local.google.co.jp/maps?q=山形県村山市大字本飯田271,駐車場 空有 (6台) 無料備考駐車場：車庫2台・カースペース　袖崎駅より車で6分　山交バス「本飯田南」より徒歩3分(210m)  セブンイレブン村山金谷工業団地前店様まで約1800m(徒歩23分/車4分)。, 一方 ( 北西 8m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 2022年12月 下旬, 0121996-0000309, 売主,https://www.homes.co.jp/kodate/b-1219960000309/,株式会社カチタス 山形店,山形県山形市鉄砲町３丁目３-１１　フェアリーテール　2-E,2,画像あり
250万円,山形県東田川郡庄内町吉方字四十間38, 431.86㎡,http://local.google.co.jp/maps?q=山形県東田川郡庄内町吉方字四十間38,, ( 北 6m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,-, 相談, 0115051-0000642, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000642/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
