価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
300万円",岡山県瀬戸内市牛窓町鹿忍,109.08平方メートル (公簿) / 32.99坪,http://local.google.co.jp/maps?q=岡山県瀬戸内市牛窓町鹿忍,,一方 ( 西 5m 公道 ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0112528-0000334,一般媒介,https://www.homes.co.jp/tochi/b-1125280000334/,株式会社丸通地建,岡山県瀬戸内市邑久町豊原１１７番地の１,1,画像あり
"
400万円",岡山県瀬戸内市長船町福里,416.96平方メートル (公簿) / 126.13坪,http://local.google.co.jp/maps?q=岡山県瀬戸内市長船町福里,,一方 ( 東 2m 公道 間口19m ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0140434-0000242,一般媒介★,https://www.homes.co.jp/tochi/b-1404340000242/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
579.37万円",岡山県倉敷市福田町浦田2155-11,174.11平方メートル (公簿) / 52.66坪,http://local.google.co.jp/maps?q=岡山県倉敷市福田町浦田2155-11,,一方 ( 南 公道 間口2.7m ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり 

",相談,0147162-0000004,専任媒介★,https://www.homes.co.jp/tochi/b-1471620000004/,H・M　Life株式会社,岡山県倉敷市玉島阿賀崎１丁目2-8　コーポ佐藤1階南,1,画像あり
"
90万円",岡山県和気郡和気町大田原,247平方メートル (公簿) / 74.71坪,http://local.google.co.jp/maps?q=岡山県和気郡和気町大田原,,一方 ( 北 1.2m 公道 間口16.4m ),非線引区域,宅地,無指定,高台,所有権,不要,"古家あり 

",即時,0140434-0000214,一般媒介★,https://www.homes.co.jp/tochi/b-1404340000214/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
525万円",岡山県倉敷市水島西常盤町,112.16平方メートル (公簿) / 33.92坪,http://local.google.co.jp/maps?q=岡山県倉敷市水島西常盤町,,一方 ( 東 3.2m 公道 ),市街化区域,宅地,商業地域,-,所有権,不要,"古家あり 

",相談,0138551-0000376,仲介,https://www.homes.co.jp/tochi/b-1385510000376/,ヤマト住建株式会社　岡山店,岡山県岡山市北区下中野1223-1,1,画像あり
"
390万円",岡山県岡山市東区西大寺浜,460.63平方メートル (公簿) / 139.34坪,http://local.google.co.jp/maps?q=岡山県岡山市東区西大寺浜,,( 東 5m 公道 ),市街化調整区域,雑種地,無指定,平坦,所有権,不要,"古家あり 

",相談,0141010-0000641,専属専任媒介,https://www.homes.co.jp/tochi/b-1410100000641/,株式会社後楽不動産　本社営業部,岡山県岡山市北区東古松南町6-31,1,画像あり
"
300万円",岡山県玉野市和田3丁目1199-2,213.77平方メートル / 64.66坪,http://local.google.co.jp/maps?q=岡山県玉野市和田3丁目1199-2,,-,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,0140434-0000055,仲介★,https://www.homes.co.jp/tochi/b-1404340000055/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
450万円",岡山県津山市河辺1902-7,257平方メートル (公簿) / 77.74坪,http://local.google.co.jp/maps?q=岡山県津山市河辺1902-7,,接道なし,非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",即時,0117998-0000244,専任媒介,https://www.homes.co.jp/tochi/b-1179980000244/,鶴山不動産株式会社,岡山県津山市河辺1000-1,1,画像あり
"
333万円",岡山県津山市坂上388-1,508.87平方メートル (公簿) / 153.93坪,http://local.google.co.jp/maps?q=岡山県津山市坂上388-1,,一方 ( 南東 18m 公道 間口16m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0117998-0000306,一般媒介,https://www.homes.co.jp/tochi/b-1179980000306/,鶴山不動産株式会社,岡山県津山市河辺1000-1,1,画像あり
"
300万円",岡山県備前市吉永町岩崎,592平方メートル (公簿) / 179.08坪,http://local.google.co.jp/maps?q=岡山県備前市吉永町岩崎,,一方 ( 北 3.7m 公道 ),都市計画区域外,田,無指定,-,所有権,不要,"古家あり 

",相談,0141010-0000746,専任媒介,https://www.homes.co.jp/tochi/b-1410100000746/,株式会社後楽不動産　本社営業部,岡山県岡山市北区東古松南町6-31,1,画像あり
"
880万円",岡山県岡山市中区江並170-8,180.86平方メートル / 54.71坪,http://local.google.co.jp/maps?q=岡山県岡山市中区江並170-8,,( 北 6m 公道 間口8.4m ),市街化区域,宅地,準工業地域,平坦,所有権,要,"古家あり 

 ",相談,0141918-0000253,専任媒介★,https://www.homes.co.jp/tochi/b-1419180000253/,-,-,1,画像あり
"
490万円",岡山県倉敷市日畑,"1,210平方メートル (公簿) / 366.02坪",http://local.google.co.jp/maps?q=岡山県倉敷市日畑,,二方 ( 南 3.1m 公道 ) ( 南西 3.2m 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0142534-0000547,専任媒介,https://www.homes.co.jp/tochi/b-1425340000547/,ハウスドゥ！倉敷駅東店　株式会社アールイープロジェクト,岡山県倉敷市平田681-4,1,画像あり
"
480万円",岡山県倉敷市北畝4丁目,106.16平方メートル (公簿) / 32.11坪,http://local.google.co.jp/maps?q=岡山県倉敷市北畝4丁目,,一方 ( 北 6.1m 公道 間口4m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0142534-0000320,専任媒介★,https://www.homes.co.jp/tochi/b-1425340000320/,ハウスドゥ！倉敷駅東店　株式会社アールイープロジェクト,岡山県倉敷市平田681-4,1,画像あり
"
460万円",岡山県総社市小寺,159平方メートル (公簿) / 48.09坪,http://local.google.co.jp/maps?q=岡山県総社市小寺,,角地 ( 北 公道 ) ( 西 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",即時,0145521-0000089,専任媒介,https://www.homes.co.jp/tochi/b-1455210000089/,ハウスドゥ　岡山平井　株式会社エコプラン,岡山県岡山市中区平井７丁目1-18,1,画像あり
"
850万円",岡山県倉敷市林,167.95平方メートル (公簿) / 50.8坪,http://local.google.co.jp/maps?q=岡山県倉敷市林,,一方 ( 南東 6m 公道 間口10m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0141918-0000428,専任媒介★,https://www.homes.co.jp/tochi/b-1419180000428/,株式会社カスケ不動産,岡山県岡山市北区田中137-111,1,画像あり
"
550万円",岡山県倉敷市西坂1480-51,276.34平方メートル (公簿) / 83.59坪,http://local.google.co.jp/maps?q=岡山県倉敷市西坂1480-51,,一方 ( 東 4m 公道 ),市街化調整区域,宅地,無指定,高台,所有権,不要,"古家あり 

",即時,0140434-0000030,専任媒介★,https://www.homes.co.jp/tochi/b-1404340000030/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
600万円",岡山県倉敷市東塚6丁目,191.37平方メートル (公簿) / 57.88坪,http://local.google.co.jp/maps?q=岡山県倉敷市東塚6丁目,,一方 ( 南 4m 公道 間口2m ),市街化区域,宅地,準工業地域,-,所有権,不要,"古家あり 

",即時,0140924-0000665,仲介,https://www.homes.co.jp/tochi/b-1409240000665/,トータテ住宅販売株式会社　岡山営業所,岡山県岡山市南区米倉123-7,1,画像あり
"
420万円",岡山県瀬戸内市長船町東須恵,"1,026.55平方メートル (公簿) / 310.53坪",http://local.google.co.jp/maps?q=岡山県瀬戸内市長船町東須恵,,一方 ( 北 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",即時,0145521-0000172,専任媒介,https://www.homes.co.jp/tochi/b-1455210000172/,ハウスドゥ　岡山平井　株式会社エコプラン,岡山県岡山市中区平井７丁目1-18,1,画像あり
"
1,000万円",岡山県倉敷市福田町古新田,168.82平方メートル (公簿) / 51.06坪,http://local.google.co.jp/maps?q=岡山県倉敷市福田町古新田,,角地 ( 北西 4m 公道 ) ( 北東 3.3m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0142534-0000574,専任媒介,https://www.homes.co.jp/tochi/b-1425340000574/,ハウスドゥ！倉敷駅東店　株式会社アールイープロジェクト,岡山県倉敷市平田681-4,1,画像あり
