価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
899万円,岩手県一関市萩荘字小繋40-1, 226㎡（公簿）,http://local.google.co.jp/maps?q=岩手県一関市萩荘字小繋40-1,駐車場 空有 (2台) 無料, 一方 ( 北西 4m 公道 ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 2022年12月 上旬, 0121992-0000460, 売主,https://www.homes.co.jp/kodate/b-1219920000460/,株式会社カチタス 一関店,岩手県一関市銅谷町６番２８号,2,画像あり
780万円,岩手県盛岡市桜台, 150.08㎡（公簿）,http://local.google.co.jp/maps?q=岩手県盛岡市桜台,駐車場 空有 無料, 一方 ( 南西 6m 公道 ), 市街化調整区域, 宅地, 無指定, その他, 所有権, 不要,空家, 即時, 3221605-0000019, 一般媒介,https://www.homes.co.jp/kodate/b-32216050000019/,有限会社夢創社,岩手県盛岡市津志田西２丁目17-50,2,画像あり
529万円,岩手県九戸郡軽米町大字山内第3地割51-2, 657.06㎡（公簿）,http://local.google.co.jp/maps?q=岩手県九戸郡軽米町大字山内第3地割51-2,駐車場 空有 (3台) 無料備考金田一温泉駅より車で28分　町民バス「新井田」より徒歩12分(950ｍ)  本物件は住宅ローン減税が適用されます。詳しくはお問い合わせください。 ●間取り・駐車場 ・全居室6帖以上2DK ・平家の住宅 ・3台以上駐車可能  ●周辺施設 ・軽米町立晴山小学校まで約5.5km、軽米町立軽米中学校まで約9.6km ・ユニバース軽米店様まで約13km ・ローソン岩手軽米店様まで約5.3km  現況販売になります。ぜひ現地でご確認ください。  ※自社売主物件につき随時内覧可能です。, 二方 ( 北 2m 公道 ) ( 西 5m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家備考金田一温泉駅より車で28分　町民バス「新井田」より徒歩12分(950ｍ)  本物件は住宅ローン減税が適用されます。詳しくはお問い合わせください。 ●間取り・駐車場 ・全居室6帖以上2DK ・平家の住宅 ・3台以上駐車可能  ●周辺施設 ・軽米町立晴山小学校まで約5.5km、軽米町立軽米中学校まで約9.6km ・ユニバース軽米店様まで約13km ・ローソン岩手軽米店様まで約5.3km  販売になります。ぜひ現地でご確認ください。  ※自社売主物件につき随時内覧可能です。, 即時, 0121990-0000329, 売主,https://www.homes.co.jp/kodate/b-1219900000329/,株式会社カチタス 八戸店,青森県八戸市城下１丁目14-4　地代所ビル　1-C号室,2,画像あり
680万円,岩手県上閉伊郡大槌町桜木町, 358.12㎡（公簿）,http://local.google.co.jp/maps?q=岩手県上閉伊郡大槌町桜木町,駐車場 空有 無料, 一方,, 宅地, 無指定, その他, 所有権, 不要,-, 即時, 3221547-0000010, 仲介,https://www.homes.co.jp/kodate/b-32215470000010/,家子不動産開発株式会社,岩手県上閉伊郡大槌町上町14-28,2,画像あり
750万円,岩手県花巻市南万丁目, 283㎡（公簿）,http://local.google.co.jp/maps?q=岩手県花巻市南万丁目,駐車場 空有 (1台) 無料, 一方 ( 南東 13.5m 公道 間口15.2m ), 市街化区域, 宅地, 第一種住居地域,, 所有権, 不要,空家, 即時, 0146896-0002095, 専任媒介,https://www.homes.co.jp/kodate/b-1468960002095/,株式会社永大ハウス工業　富谷店,宮城県富谷市ひより台２丁目35番9,2,画像あり
215万円駐車場 空有 (3台) 料金：・管理費に含む,岩手県岩手郡葛巻町江刈第14地割95-7, 323.68㎡（公簿）,http://local.google.co.jp/maps?q=岩手県岩手郡葛巻町江刈第14地割95-7,駐車場 空有 (3台) 料金：・管理費に含む, 角地 ( 南西 10m 公道 ) ( 北西 4.5m 公道 ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 即時, 0115051-0000402, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000402/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
640万円駐車場 空有 (2台) 料金：・管理費に含む,岩手県紫波郡紫波町栃内字沢田17-1, 882.53㎡（公簿）,http://local.google.co.jp/maps?q=岩手県紫波郡紫波町栃内字沢田17-1,駐車場 空有 (2台) 料金：・管理費に含む, ( 南東 2m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0115051-0000839, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000839/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
600万円,岩手県花巻市東和町田瀬20区," 33,076.99㎡（公簿）",http://local.google.co.jp/maps?q=岩手県花巻市東和町田瀬20区,駐車場 空有 無料, 一方 ( 西 5.5m 公道 間口7.5m ), 区域外, 宅地, 無指定, ひな段, 所有権, 要,空家, 相談, 3221532-0000022, 一般媒介,https://www.homes.co.jp/kodate/b-32215320000022/,株式会社畠山冷機工業所,岩手県花巻市山の神430番地43,2,画像あり
300万円,岩手県盛岡市三ツ割3丁目, 277.14㎡（公簿）,http://local.google.co.jp/maps?q=岩手県盛岡市三ツ割3丁目,, 接道なし, 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,-, 即時, 0133555-0000089, 専任媒介,https://www.homes.co.jp/kodate/b-1335550000089/,株式会社土屋ホーム不動産　岩手営業所,岩手県盛岡市向中野７丁目1-32,2,画像あり
800万円,岩手県上閉伊郡大槌町桜木町3-9, 231.99㎡（公簿）,http://local.google.co.jp/maps?q=岩手県上閉伊郡大槌町桜木町3-9,駐車場 空有 (2台) 無料 物件からの距離0m 庭に2台置けます。, 一方 ( 東 4.5m 公道 間口14m ), 非線引区域, 宅地, 第一種低層住居専用地域, 平坦, 所有権, 不要,空家, 即時, 0141069-0000014, 一般媒介,https://www.homes.co.jp/kodate/b-1410690000014/,赤武石油ガス株式会社,岩手県上閉伊郡大槌町大槌第１２地割125番地,2,画像あり
