価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
600万円",島根県松江市八雲町東岩坂,200.53平方メートル / 60.66坪,http://local.google.co.jp/maps?q=島根県松江市八雲町東岩坂,,二方 ( 北 ) ( 東 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129490-0000663,一般媒介,https://www.homes.co.jp/tochi/b-1294900000663/,ハウスドゥ　松江　西日本ホーム株式会社,島根県松江市西津田５丁目1-1,1,画像あり
"
280万円",島根県出雲市多伎町久村,278.91平方メートル (公簿) / 84.37坪,http://local.google.co.jp/maps?q=島根県出雲市多伎町久村,,一方 ( 北西 6.7m 公道 間口32m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129480-0001009,専任媒介,https://www.homes.co.jp/tochi/b-1294800001009/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
950万円",島根県出雲市神西沖町蛇島,664.77平方メートル (公簿) / 201.09坪,http://local.google.co.jp/maps?q=島根県出雲市神西沖町蛇島,,角地 ( 南 12m 公道 間口18.8m ) ( 西 2.2m 公道 間口33m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129480-0001252,専任媒介,https://www.homes.co.jp/tochi/b-1294800001252/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
500万円",島根県松江市古志原2丁目,416.42平方メートル (公簿) / 125.96坪,http://local.google.co.jp/maps?q=島根県松江市古志原2丁目,,接道なし,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0129490-0000637,仲介,https://www.homes.co.jp/tochi/b-1294900000637/,ハウスドゥ　松江　西日本ホーム株式会社,島根県松江市西津田５丁目1-1,1,画像あり
"
880万円",島根県出雲市鹿園寺町,378.68平方メートル (公簿) / 114.55坪,http://local.google.co.jp/maps?q=島根県出雲市鹿園寺町,,二方 ( 北西 6m 公道 間口7m ) ( 東 3.4m 公道 間口27.3m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129480-0001609,一般媒介,https://www.homes.co.jp/tochi/b-1294800001609/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
900万円",島根県出雲市今市町,222.2平方メートル (公簿) / 67.21坪,http://local.google.co.jp/maps?q=島根県出雲市今市町,,一方 ( 南東 6.5m 公道 間口7.5m ),非線引区域,宅地,商業地域,-,所有権,不要,"古家あり 

",相談,0129480-0001503,一般媒介,https://www.homes.co.jp/tochi/b-1294800001503/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
790万円",島根県松江市雑賀町,168.44平方メートル / 50.95坪,http://local.google.co.jp/maps?q=島根県松江市雑賀町,,一方 ( 西 ),市街化区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129490-0000310,仲介,https://www.homes.co.jp/tochi/b-1294900000310/,ハウスドゥ　松江　西日本ホーム株式会社,島根県松江市西津田５丁目1-1,1,画像あり
"
620万円",島根県松江市玉湯町玉造,408.73平方メートル / 123.64坪,http://local.google.co.jp/maps?q=島根県松江市玉湯町玉造,,一方 ( 東 ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129490-0000612,一般媒介,https://www.homes.co.jp/tochi/b-1294900000612/,ハウスドゥ　松江　西日本ホーム株式会社,島根県松江市西津田５丁目1-1,1,画像あり
"
700万円",島根県出雲市神西沖町蛇島,285.8平方メートル (公簿) / 86.45坪,http://local.google.co.jp/maps?q=島根県出雲市神西沖町蛇島,,角地 ( 南 12m 公道 間口19m ) ( 東 2.2m 公道 間口15.6m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129480-0001253,専任媒介,https://www.homes.co.jp/tochi/b-1294800001253/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
613.86万円",島根県出雲市湖陵町差海,278平方メートル (公簿) / 84.09坪,http://local.google.co.jp/maps?q=島根県出雲市湖陵町差海,,一方 ( 北 7m 公道 間口29.4m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129480-0001243,仲介,https://www.homes.co.jp/tochi/b-1294800001243/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
"
160万円",島根県出雲市湖陵町大池,238.37平方メートル (公簿) / 72.1坪,http://local.google.co.jp/maps?q=島根県出雲市湖陵町大池,,二方 ( 北 公道 ) ( 南 公道 ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129480-0001373,一般媒介,https://www.homes.co.jp/tochi/b-1294800001373/,ハウスドゥ！出雲店　西日本ホーム株式会社,島根県出雲市渡橋町3-2,1,画像あり
