価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
600万円",広島県福山市千田町大字藪路,273.31平方メートル (公簿) / 82.67坪,http://local.google.co.jp/maps?q=広島県福山市千田町大字藪路,,一方 ( 西 4.5m 公道 間口17.5m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,3212204-0000079,一般媒介★,https://www.homes.co.jp/tochi/b-32122040000079/,三栄不動産株式会社,広島県福山市御門町１丁目11-21,1,画像あり
"
888万円",広島県呉市焼山ひばりヶ丘町6-,238.14平方メートル (公簿) / 72.03坪,http://local.google.co.jp/maps?q=広島県呉市焼山ひばりヶ丘町6-,,一方 ( 東 5.2m 公道 間口14.9m ),市街化区域,宅地,第一種低層住居専用地域,ひな段,所有権,不要,"古家あり 

",相談,3212428-0001940,専任媒介★,https://www.homes.co.jp/tochi/b-32124280001940/,株式会社エイトホーム,広島県呉市中央１丁目9-3,1,画像あり
"
450万円",広島県三原市須波1丁目,135.53平方メートル (公簿) / 40.99坪,http://local.google.co.jp/maps?q=広島県三原市須波1丁目,,一方 ( 東 公道 間口10.2m ),都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",即時,3213556-0000143,専属専任媒介★,https://www.homes.co.jp/tochi/b-32135560000143/,コンフォート不動産株式会社,広島県三原市港町１丁目2-18　2F,1,画像あり
"
720万円",広島県大竹市栗谷町大栗林10260番86,782平方メートル (公簿) / 236.55坪,http://local.google.co.jp/maps?q=広島県大竹市栗谷町大栗林10260番86,,三方 ( 南東 4.5m 私道 ) ( 北東 5m 私道 ) ( 北西 11m 公道 ),都市計画区域外,宅地,-,-,所有権,不要,"古家あり 

",相談,3212130-0000104,一般媒介★,https://www.homes.co.jp/tochi/b-32121300000104/,豊栄産業有限会社,広島県広島市安佐南区相田１丁目14-23,1,画像あり
"
480万円",広島県三原市小坂町257,497.66平方メートル (公簿) / 150.54坪,http://local.google.co.jp/maps?q=広島県三原市小坂町257,,一方 ( 北 4m 公道 間口30m ),都市計画区域外,宅地,無指定,高台,所有権,不要,"古家あり 

",即時,3212641-0000052,専任媒介★,https://www.homes.co.jp/tochi/b-32126410000052/,共和不動産株式会社,広島県三原市和田２丁目29-3,1,画像あり
"
888万円",広島県呉市焼山松ヶ丘1丁目9-,230.2平方メートル (公簿) / 69.63坪,http://local.google.co.jp/maps?q=広島県呉市焼山松ヶ丘1丁目9-,,一方 ( 西 4.5m 公道 間口15.5m ),市街化区域,宅地,第一種低層住居専用地域,ひな段,所有権,不要,"古家あり 

",相談,3212428-0001941,専任媒介★,https://www.homes.co.jp/tochi/b-32124280001941/,株式会社エイトホーム,広島県呉市中央１丁目9-3,1,画像あり
"
480万円",広島県三原市西宮2丁目,132.23平方メートル (公簿) / 39.99坪,http://local.google.co.jp/maps?q=広島県三原市西宮2丁目,,一方 ( 東 3.7m 公道 間口7.3m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,3213556-0000125,専属専任媒介★,https://www.homes.co.jp/tochi/b-32135560000125/,コンフォート不動産株式会社,広島県三原市港町１丁目2-18　2F,1,画像あり
"
500万円",広島県呉市焼山ひばりヶ丘町14-14,287.89平方メートル (公簿) / 87.08坪,http://local.google.co.jp/maps?q=広島県呉市焼山ひばりヶ丘町14-14,,一方 ( 東 5m 公道 間口15m ),市街化区域,宅地,第一種低層住居専用地域,ひな段,所有権,要,"古家あり 

",相談,3213006-0000030,一般媒介★,https://www.homes.co.jp/tochi/b-32130060000030/,おんべ不動産,広島県呉市和庄登町21-11,1,画像あり
"
300万円",広島県呉市東三津田町6-25,242.02平方メートル (公簿) / 73.21坪,http://local.google.co.jp/maps?q=広島県呉市東三津田町6-25,,-,市街化区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,3212985-0000168,専任媒介★,https://www.homes.co.jp/tochi/b-32129850000168/,有限会社大昌不動産,広島県呉市中央３丁目11-22,1,画像あり
"
780万円",広島県安芸郡熊野町出来庭3丁目,455.62平方メートル (公簿) / 137.82坪,http://local.google.co.jp/maps?q=広島県安芸郡熊野町出来庭3丁目,,一方 ( 北 2.5m 私道 間口13m ),市街化調整区域,宅地,-,平坦,所有権,不要,"古家あり 

",相談,3212293-0000040,専任媒介★,https://www.homes.co.jp/tochi/b-32122930000040/,株式会社広島情報プラザ　フジグラン,広島県安芸郡坂町北新地２丁目3-30,1,画像あり
