価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
680万円",徳島県徳島市城南町1丁目,201.65平方メートル / 60.99坪,http://local.google.co.jp/maps?q=徳島県徳島市城南町1丁目,,一方 ( 東 2.7m 私道 ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0146502-0000154,一般媒介★,https://www.homes.co.jp/tochi/b-1465020000154/,ハウスドゥ！徳島中央店　株式会社プラスナイス,徳島県徳島市北沖洲２丁目9-18,1,画像あり
"
400万円",徳島県阿南市畭町新はり,244.1平方メートル (公簿) / 73.84坪,http://local.google.co.jp/maps?q=徳島県阿南市畭町新はり,,接道なし,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0107440-0000466,一般媒介,https://www.homes.co.jp/tochi/b-1074400000466/,ハウスドゥ！徳島阿南店　株式会社さかがみハウジング,徳島県阿南市上中町南島７１８番地２,1,画像あり
"
700万円",徳島県阿南市富岡町第住町,514平方メートル (公簿) / 155.48坪,http://local.google.co.jp/maps?q=徳島県阿南市富岡町第住町,,一方 ( 南 4.3m 公道 間口18.2m ),市街化区域,雑種地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0107440-0000838,専任媒介,https://www.homes.co.jp/tochi/b-1074400000838/,ハウスドゥ！徳島阿南店　株式会社さかがみハウジング,徳島県阿南市上中町南島７１８番地２,1,画像あり
"
680万円",徳島県徳島市昭和町8丁目,80.45平方メートル (公簿) / 24.33坪,http://local.google.co.jp/maps?q=徳島県徳島市昭和町8丁目,,一方 ( 南東 公道 ),市街化区域,宅地,近隣商業地域,-,所有権,不要,"古家あり 

",相談,0146502-0000013,一般媒介★,https://www.homes.co.jp/tochi/b-1465020000013/,ハウスドゥ！徳島中央店　株式会社プラスナイス,徳島県徳島市北沖洲２丁目9-18,1,画像あり
"
778.03万円",徳島県徳島市川内町米津,257.21平方メートル (公簿) / 77.8坪,http://local.google.co.jp/maps?q=徳島県徳島市川内町米津,,-,市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,3220275-0000943,専属専任媒介★,https://www.homes.co.jp/tochi/b-32202750000943/,サンシャインみづき,高知県高知市みづき１丁目108-2,1,画像あり
"
450万円",徳島県徳島市国府町府中,112.49平方メートル (公簿) / 34.02坪,http://local.google.co.jp/maps?q=徳島県徳島市国府町府中,,接道なし,市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0146502-0000136,一般媒介,https://www.homes.co.jp/tochi/b-1465020000136/,ハウスドゥ！徳島中央店　株式会社プラスナイス,徳島県徳島市北沖洲２丁目9-18,1,画像あり
"
680万円",徳島県小松島市大林町字森ノ本,208.59平方メートル (公簿) / 63.09坪,http://local.google.co.jp/maps?q=徳島県小松島市大林町字森ノ本,,一方 ( 東 4m 公道 間口14m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0146502-0000189,一般媒介★,https://www.homes.co.jp/tochi/b-1465020000189/,ハウスドゥ！徳島中央店　株式会社プラスナイス,徳島県徳島市北沖洲２丁目9-18,1,画像あり
"
70万円",徳島県阿南市橘町大浦,93.99平方メートル (公簿) / 28.43坪,http://local.google.co.jp/maps?q=徳島県阿南市橘町大浦,,角地 ( 東 公道 間口10m ) ( 南 私道 間口8m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0107440-0000993,一般媒介,https://www.homes.co.jp/tochi/b-1074400000993/,ハウスドゥ！徳島阿南店　株式会社さかがみハウジング,徳島県阿南市上中町南島７１８番地２,1,画像あり
"
600万円",徳島県徳島市国府町矢野,334.56平方メートル (公簿) / 101.2坪,http://local.google.co.jp/maps?q=徳島県徳島市国府町矢野,,一方 ( 西 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0146502-0000019,専属専任媒介★,https://www.homes.co.jp/tochi/b-1465020000019/,ハウスドゥ！徳島中央店　株式会社プラスナイス,徳島県徳島市北沖洲２丁目9-18,1,画像あり
"
80万円",徳島県阿南市下大野町三条,208.6平方メートル (実測) / 63.1坪,http://local.google.co.jp/maps?q=徳島県阿南市下大野町三条,,一方 ( 南 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0107440-0000834,専属専任媒介,https://www.homes.co.jp/tochi/b-1074400000834/,ハウスドゥ！徳島阿南店　株式会社さかがみハウジング,徳島県阿南市上中町南島７１８番地２,1,画像あり
