価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
800万円",愛媛県松山市恵原町,214平方メートル / 64.73坪,http://local.google.co.jp/maps?q=愛媛県松山市恵原町,,三方 ( 南 2.7m 私道 ) ( 西 1.1m ) ( 北 0.9m ),市街化調整区域,宅地,-,平坦,所有権,不要,"古家あり 

",相談,3220062-0001602,一般媒介,https://www.homes.co.jp/tochi/b-32200620001602/,株式会社ケーズハウス,愛媛県松山市枝松３丁目6-37,1,画像あり
"
300万円",愛媛県松山市祓川2丁目,65.78平方メートル (公簿) / 19.89坪,http://local.google.co.jp/maps?q=愛媛県松山市祓川2丁目,,一方 ( 南 4m 私道 間口5.5m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,3220109-0000267,専任媒介,https://www.homes.co.jp/tochi/b-32201090000267/,株式会社C-next不動産,愛媛県松山市勝山町２丁目15番地4　喜安ビル2F,1,画像あり
"
920万円",愛媛県新居浜市西町5-11,234平方メートル / 70.78坪,http://local.google.co.jp/maps?q=愛媛県新居浜市西町5-11,,( 西 3m ),非線引区域,畑,商業地域,-,所有権,不要,"古家あり 

",相談,3220265-0000205,仲介,https://www.homes.co.jp/tochi/b-32202650000205/,有限会社フジ宅建不動産,愛媛県新居浜市田所町1-1,1,画像あり
"
382万円",愛媛県松山市空港通四丁目131-26,50.48平方メートル / 15.27坪,http://local.google.co.jp/maps?q=愛媛県松山市空港通四丁目131-26,,一方 ( 西 4m 私道 間口4.6m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり更地引渡可 

",相談,3220189-0000065,仲介,https://www.homes.co.jp/tochi/b-32201890000065/,株式会社協立土地建物商事,愛媛県松山市柳井町３丁目8-13,1,画像あり
"
390万円",愛媛県松山市浅海原,370.72平方メートル / 112.14坪,http://local.google.co.jp/maps?q=愛媛県松山市浅海原,,一方 ( 西 4m 公道 ),都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",相談,3220062-0001571,一般媒介,https://www.homes.co.jp/tochi/b-32200620001571/,株式会社ケーズハウス,愛媛県松山市枝松３丁目6-37,1,画像あり
"
380万円",愛媛県新居浜市松の木町4-16,205.67平方メートル / 62.21坪,http://local.google.co.jp/maps?q=愛媛県新居浜市松の木町4-16,,( 西 4m ) ( 東 4m ),非線引区域,宅地,-,-,所有権,不要,"古家あり 

",相談,3220265-0000588,仲介,https://www.homes.co.jp/tochi/b-32202650000588/,有限会社フジ宅建不動産,愛媛県新居浜市田所町1-1,1,画像あり
"
240万円",愛媛県松山市浅海原,122.45平方メートル / 37.04坪,http://local.google.co.jp/maps?q=愛媛県松山市浅海原,,一方 ( 東 4m 公道 ),都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",相談,3220062-0001572,一般媒介,https://www.homes.co.jp/tochi/b-32200620001572/,株式会社ケーズハウス,愛媛県松山市枝松３丁目6-37,1,画像あり
"
80万円",愛媛県今治市吉海町椋名,107.49平方メートル / 32.51坪,http://local.google.co.jp/maps?q=愛媛県今治市吉海町椋名,,一方 ( 南 2m 公道 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,3702131-0000896,一般媒介,https://www.homes.co.jp/tochi/b-37021310000896/,株式会社愛媛総合センター,愛媛県今治市旭町４丁目１－８,1,画像あり
"
450万円",愛媛県西条市氷見乙,281.94平方メートル / 85.28坪,http://local.google.co.jp/maps?q=愛媛県西条市氷見乙,,一方 ( 北西 3.6m 私道 ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,3702182-0000032,一般媒介,https://www.homes.co.jp/tochi/b-37021820000032/,株式会社愛媛総合センター　イエステーション西条店,愛媛県西条市大町706-9,1,画像あり
"
890万円",愛媛県新居浜市八幡2丁目3-17,419.83平方メートル / 126.99坪,http://local.google.co.jp/maps?q=愛媛県新居浜市八幡2丁目3-17,,( 北 3m ),非線引区域,田,-,-,所有権,不要,"古家あり 

",相談,3220265-0000589,仲介,https://www.homes.co.jp/tochi/b-32202650000589/,有限会社フジ宅建不動産,愛媛県新居浜市田所町1-1,1,画像あり
"
50万円",愛媛県今治市北浜町,72.06平方メートル / 21.79坪,http://local.google.co.jp/maps?q=愛媛県今治市北浜町,,一方 ( 北東 13m 公道 ),市街化区域,宅地,近隣商業地域,-,所有権,不要,"古家あり 

",相談,3702131-0001015,一般媒介,https://www.homes.co.jp/tochi/b-37021310001015/,株式会社愛媛総合センター,愛媛県今治市旭町４丁目１－８,1,画像あり
