価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
640万円,東京都八王子市絹ケ丘1丁目48-5, 162.19㎡,http://local.google.co.jp/maps?q=東京都八王子市絹ケ丘1丁目48-5,,, 市街化区域, 宅地, 第一種低層住居専用地域, 高台, 所有権, 不要,空家, 即時, 0135187-0002376, 仲介,https://www.homes.co.jp/kodate/b-1351870002376/,有限会社アズミ住宅,東京都八王子市椚田町535-13　澤田ビルB-101,2,画像あり
880万円,東京都八王子市横川町, 67.33㎡（公簿）,http://local.google.co.jp/maps?q=東京都八王子市横川町,, 一方 ( 北 4m 公道 ), 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,賃貸中, 相談, 0112795-0055381, 仲介,https://www.homes.co.jp/kodate/b-1127950055381/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
499万円,東京都八王子市上恩方町3883-2, 531㎡,http://local.google.co.jp/maps?q=東京都八王子市上恩方町3883-2,,, 市街化調整区域, 宅地,, 平坦, 所有権, 不要,居住中, 相談, 0135187-0002369, 仲介,https://www.homes.co.jp/kodate/b-1351870002369/,有限会社アズミ住宅,東京都八王子市椚田町535-13　澤田ビルB-101,2,画像あり
980万円,東京都江東区海辺, 47.55㎡（公簿）,http://local.google.co.jp/maps?q=東京都江東区海辺,, 一方 ( 西 7.9m 公道 間口1.2m ), 市街化区域, 宅地, 準工業地域,, 旧法賃借権, 不要,空家, 相談, 0128725-0000246, 専任媒介,https://www.homes.co.jp/kodate/b-1287250000246/,株式会社セルバ・プランニング,東京都品川区西五反田２丁目7番11号　intexビル5階,2,画像あり
980万円,東京都八王子市上川町2799-1, 275.84㎡,http://local.google.co.jp/maps?q=東京都八王子市上川町2799-1,,, 市街化区域, 宅地, 第一種低層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 0135187-0002380, 仲介,https://www.homes.co.jp/kodate/b-1351870002380/,有限会社アズミ住宅,東京都八王子市椚田町535-13　澤田ビルB-101,2,画像あり
599万円,東京都東久留米市浅間町1丁目4-19, 42.64㎡（公簿）,http://local.google.co.jp/maps?q=東京都東久留米市浅間町1丁目4-19,駐車場 無, 接道なし ( 西 1.8m 私道 間口5.4m ), 市街化区域, 宅地,, 平坦, 所有権, 不要,空家, 相談, 0104111-0057997, 専任媒介,https://www.homes.co.jp/kodate/b-1041110057997/,株式会社ランドネット,東京都豊島区南池袋１丁目16-15　ダイヤゲート池袋7F,2,画像あり
980万円,東京都東大和市向原6丁目, 30.11㎡（公簿）,http://local.google.co.jp/maps?q=東京都東大和市向原6丁目,駐車場 無, 二方 ( 南 9.5m 私道 間口4.2m ) ( 北 4m 私道 間口4.2m ), 市街化区域, 宅地, 近隣商業地域,, 所有権, 不要,賃貸中, 相談, 3702179-0000065, 一般媒介,https://www.homes.co.jp/kodate/b-37021790000065/,株式会社クリエイト興産,東京都東久留米市本町１丁目4-47,2,画像あり
980万円,東京都練馬区大泉町5丁目, 77.35㎡（公簿）,http://local.google.co.jp/maps?q=東京都練馬区大泉町5丁目,, 一方 ( 南 ), 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,空家, 即時, 0102074-0075423, 仲介,https://www.homes.co.jp/kodate/b-1020740075423/,東宝ハウスグループ　株式会社東宝ハウス国分寺,東京都国分寺市南町３丁目23-11,2,画像あり
700万円,東京都八王子市諏訪町331-34, 67.75㎡,http://local.google.co.jp/maps?q=東京都八王子市諏訪町331-34,,, 市街化区域, 宅地, 準工業地域, 平坦, 所有権, 不要,居住中, 相談, 0135187-0001907, 仲介,https://www.homes.co.jp/kodate/b-1351870001907/,有限会社アズミ住宅,東京都八王子市椚田町535-13　澤田ビルB-101,2,画像あり
880万円,東京都八王子市横川町, 112.64㎡（公簿）,http://local.google.co.jp/maps?q=東京都八王子市横川町,駐車場 無, 一方 ( 南西 3.8m 私道 ), 市街化区域, 宅地, 第一種低層住居専用地域, ひな段, 所有権, 不要,空家, 相談, 0125746-0007789, 専属専任媒介,https://www.homes.co.jp/kodate/b-1257460007789/,株式会社福屋不動産販売　八王子店,東京都八王子市横山町22番1号　エフ・ティービル八王子5階,2,画像あり
"1,000万円",東京都青梅市藤橋2丁目, 93.96㎡（公簿）,http://local.google.co.jp/maps?q=東京都青梅市藤橋2丁目,駐車場 無, 接道なし, 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,居住中, 相談, 0136636-0001444, 専任媒介,https://www.homes.co.jp/kodate/b-1366360001444/,ハウスドゥ　青梅河辺　ファミリアホームサービス株式会社,東京都青梅市河辺町５丁目10番10　クレセント河辺1B,2,画像あり
499万円,東京都八王子市上恩方町, 531㎡（公簿）,http://local.google.co.jp/maps?q=東京都八王子市上恩方町,, 一方 ( 北西 3m 公道 ), 市街化区域, 宅地, 無指定,, 所有権, 不要,賃貸中, 相談, 0112795-0060642, 仲介,https://www.homes.co.jp/kodate/b-1127950060642/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
900万円,東京都青梅市成木8丁目, 199.61㎡（公簿）,http://local.google.co.jp/maps?q=東京都青梅市成木8丁目,駐車場 空有 (3台) 無料, 一方 ( 南東 6.5m 公道 間口18.2m ), 市街化調整区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0007766-0010406, 仲介,https://www.homes.co.jp/kodate/b-77660010406/,センチュリー21タカノコーポレーション,東京都青梅市新町１丁目20-11,2,画像あり
400万円,東京都八王子市泉町1305-8, 36.29㎡,http://local.google.co.jp/maps?q=東京都八王子市泉町1305-8,,, 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,賃貸中, 相談, 0135187-0002406, 仲介,https://www.homes.co.jp/kodate/b-1351870002406/,有限会社アズミ住宅,東京都八王子市椚田町535-13　澤田ビルB-101,2,画像あり
840万円,東京都八王子市美山町, 114.38㎡（公簿）,http://local.google.co.jp/maps?q=東京都八王子市美山町,駐車場 空有 (1台) 無料, 角地 ( 北西 4m 公道 ) ( 北東 4m 公道 ), 市街化区域, 宅地, 第一種低層住居専用地域, 平坦, 所有権, 不要,賃貸中, 相談, 0125746-0006850, 一般媒介,https://www.homes.co.jp/kodate/b-1257460006850/,株式会社福屋不動産販売　八王子店,東京都八王子市横山町22番1号　エフ・ティービル八王子5階,2,画像あり
