価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
480万円",滋賀県近江八幡市船木町,138.75平方メートル (公簿) / 41.97坪,http://local.google.co.jp/maps?q=滋賀県近江八幡市船木町,,一方 ( 西 5.9m 公道 間口10.8m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0119299-0002081,仲介,https://www.homes.co.jp/tochi/b-1192990002081/,ハウスドゥ　近江八幡　株式会社アルティ,滋賀県近江八幡市中村町７３４,1,画像あり
"
780万円",滋賀県東近江市東沖野2丁目,210平方メートル (公簿) / 63.52坪,http://local.google.co.jp/maps?q=滋賀県東近江市東沖野2丁目,,一方 ( 南西 6.7m 私道 ),市街化区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0119299-0001471,仲介,https://www.homes.co.jp/tochi/b-1192990001471/,ハウスドゥ　近江八幡　株式会社アルティ,滋賀県近江八幡市中村町７３４,1,画像あり
"
600万円",滋賀県野洲市比留田,330.57平方メートル (公簿) / 99.99坪,http://local.google.co.jp/maps?q=滋賀県野洲市比留田,,一方 ( 西 2.6m 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",即時,0101399-0009870,仲介,https://www.homes.co.jp/tochi/b-1013990009870/,株式会社福屋不動産販売　近江八幡店,滋賀県近江八幡市桜宮町210-1　桜宮ハイツ1F,1,画像あり
"
598万円",滋賀県野洲市大篠原,310.73平方メートル (公簿) / 93.99坪,http://local.google.co.jp/maps?q=滋賀県野洲市大篠原,,一方 ( 北 9.7m 公道 間口21.6m ),市街化調整区域,宅地,-,平坦,所有権,不要,"古家あり 

",相談,0101433-0007814,専任媒介,https://www.homes.co.jp/tochi/b-1014330007814/,株式会社福屋不動産販売　草津店,滋賀県草津市野村２丁目2-1 ソネット草津1階,1,画像あり
"
550万円",滋賀県東近江市林田町,604.95平方メートル (公簿) / 182.99坪,http://local.google.co.jp/maps?q=滋賀県東近江市林田町,,一方 ( 南東 3.1m 公道 間口26m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0101399-0009946,専属専任媒介,https://www.homes.co.jp/tochi/b-1013990009946/,株式会社福屋不動産販売　近江八幡店,滋賀県近江八幡市桜宮町210-1　桜宮ハイツ1F,1,画像あり
"
980万円",滋賀県蒲生郡竜王町大字林,447.5平方メートル (公簿) / 135.36坪,http://local.google.co.jp/maps?q=滋賀県蒲生郡竜王町大字林,,一方 ( 南西 4.1m 公道 間口23.4m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0101399-0009990,専属専任媒介,https://www.homes.co.jp/tochi/b-1013990009990/,株式会社福屋不動産販売　近江八幡店,滋賀県近江八幡市桜宮町210-1　桜宮ハイツ1F,1,画像あり
"
500万円",滋賀県近江八幡市若宮町,159.9平方メートル (公簿) / 48.36坪,http://local.google.co.jp/maps?q=滋賀県近江八幡市若宮町,,一方 ( 北東 2.8m 公道 間口13.9m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0119299-0001923,専属専任媒介,https://www.homes.co.jp/tochi/b-1192990001923/,ハウスドゥ　近江八幡　株式会社アルティ,滋賀県近江八幡市中村町７３４,1,画像あり
"
980万円",滋賀県近江八幡市板屋町,155.37平方メートル (公簿) / 46.99坪,http://local.google.co.jp/maps?q=滋賀県近江八幡市板屋町,,角地 ( 北西 4.2m 公道 間口8m ) ( 南西 12m 公道 間口19m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0101399-0010322,一般媒介,https://www.homes.co.jp/tochi/b-1013990010322/,株式会社福屋不動産販売　近江八幡店,滋賀県近江八幡市桜宮町210-1　桜宮ハイツ1F,1,画像あり
"
300万円",滋賀県大津市茶戸町,134.81平方メートル (公簿) / 40.78坪,http://local.google.co.jp/maps?q=滋賀県大津市茶戸町,,一方 ( 南 3.9m 間口12.6m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0008766-0001686,専属専任媒介,https://www.homes.co.jp/tochi/b-87660001686/,センチュリー21エンドレス不動産販売,京都府京都市山科区四ノ宮神田町29番地,1,画像あり
"
930万円",滋賀県大津市比叡辻1丁目,120.74平方メートル (公簿) / 36.52坪,http://local.google.co.jp/maps?q=滋賀県大津市比叡辻1丁目,,一方 ( 北東 7.6m 公道 間口2.6m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0146235-0000180,仲介,https://www.homes.co.jp/tochi/b-1462350000180/,ハウスドゥ　アル・プラザ堅田　株式会社エコグリーン,滋賀県大津市本堅田５丁目20-10,1,画像あり
"
900万円",滋賀県大津市真野5丁目,185平方メートル (公簿) / 55.96坪,http://local.google.co.jp/maps?q=滋賀県大津市真野5丁目,,接道なし,市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0146235-0000184,仲介,https://www.homes.co.jp/tochi/b-1462350000184/,ハウスドゥ　アル・プラザ堅田　株式会社エコグリーン,滋賀県大津市本堅田５丁目20-10,1,画像あり
"
450万円",滋賀県犬上郡豊郷町大字三ツ池,364.35平方メートル (公簿) / 110.21坪,http://local.google.co.jp/maps?q=滋賀県犬上郡豊郷町大字三ツ池,,一方 ( 北西 5.8m 公道 間口14.1m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129412-0001587,仲介,https://www.homes.co.jp/tochi/b-1294120001587/,ハウスドゥ！彦根店　株式会社まごころ住宅,滋賀県彦根市戸賀町153-4,1,画像あり
"
198万円",滋賀県犬上郡豊郷町大字上枝293,277.68平方メートル (公簿) / 83.99坪,http://local.google.co.jp/maps?q=滋賀県犬上郡豊郷町大字上枝293,,一方 ( 南東 1.8m 公道 ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0008650-0001603,専属専任媒介,https://www.homes.co.jp/tochi/b-86500001603/,センチュリー21ハウスマーケット京都店,京都府京都市伏見区竹田中川原町387伏見リンサンハイツ105,1,画像あり
"
900万円",滋賀県大津市下阪本1丁目,149.1平方メートル (公簿) / 45.1坪,http://local.google.co.jp/maps?q=滋賀県大津市下阪本1丁目,,一方 ( 西 9m 公道 間口35m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0146235-0000199,仲介,https://www.homes.co.jp/tochi/b-1462350000199/,ハウスドゥ　アル・プラザ堅田　株式会社エコグリーン,滋賀県大津市本堅田５丁目20-10,1,画像あり
