価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
980万円",熊本県熊本市東区御領1丁目2-86,189.58平方メートル (公簿) / 57.34坪,http://local.google.co.jp/maps?q=熊本県熊本市東区御領1丁目2-86,,一方 ( 南 4m 私道 位置指定 間口3m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0142898-0000165,専任媒介,https://www.homes.co.jp/tochi/b-1428980000165/,株式会社コスギ不動産リアルティ　東部支店＿売買,熊本県熊本市東区保田窪３丁目2-7,1,画像あり
"
300万円",熊本県上益城郡甲佐町大字緑町311-16,126.02平方メートル (公簿) / 38.12坪,http://local.google.co.jp/maps?q=熊本県上益城郡甲佐町大字緑町311-16,,一方 ( 東 6m 公道 ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり更地引渡可 

","相談
（ご契約後、古家の解体工事に着手します。）",0148120-0000006,一般媒介★,https://www.homes.co.jp/tochi/b-1481200000006/,不動産のWAKKS,熊本県熊本市中央区南千反畑町10-5　田上ビル2階A号,1,画像あり
"
300万円",熊本県熊本市東区平山町3336-23,284平方メートル (公簿) / 85.91坪,http://local.google.co.jp/maps?q=熊本県熊本市東区平山町3336-23,,( 北 3.1m 私道 ),市街化調整区域,雑種地,無指定,-,所有権,不要,"古家あり 

",相談,0142898-0000158,一般媒介,https://www.homes.co.jp/tochi/b-1428980000158/,株式会社コスギ不動産リアルティ　東部支店＿売買,熊本県熊本市東区保田窪３丁目2-7,1,画像あり
"
980万円",熊本県熊本市西区松尾町近津1339-2,857平方メートル (公簿) / 259.24坪,http://local.google.co.jp/maps?q=熊本県熊本市西区松尾町近津1339-2,,一方 ( 東 10.8m 公道 間口25.8m ),市街化調整区域,田,無指定,-,所有権,不要,"古家あり 

",相談,0142897-0000072,一般媒介,https://www.homes.co.jp/tochi/b-1428970000072/,株式会社コスギ不動産リアルティ　売買本部,熊本県熊本市中央区九品寺２丁目6-57,1,画像あり
"
60万円",熊本県玉名郡和水町東吉地,947.66平方メートル (公簿) / 286.66坪,http://local.google.co.jp/maps?q=熊本県玉名郡和水町東吉地,,角地 ( 西 1.8m 間口20m ) ( 南 1.8m 間口24m ),都市計画区域外,宅地,無指定,ひな段,所有権,不要,"古家あり 

",相談,0137526-0000562,一般媒介,https://www.homes.co.jp/tochi/b-1375260000562/,株式会社ハイコム　不動産事業部,熊本県熊本市中央区神水１丁目8番4号,1,画像あり
"
650万円",熊本県宇土市住吉町2040-1.2040-3,786.14平方メートル (公簿) / 237.8坪,http://local.google.co.jp/maps?q=熊本県宇土市住吉町2040-1.2040-3,,一方 ( 南 4m 公道 間口15.4m ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0142898-0000135,一般媒介,https://www.homes.co.jp/tochi/b-1428980000135/,株式会社コスギ不動産リアルティ　東部支店＿売買,熊本県熊本市東区保田窪３丁目2-7,1,画像あり
"
300万円",熊本県天草郡苓北町白木尾231,700.39平方メートル / 211.86坪,http://local.google.co.jp/maps?q=熊本県天草郡苓北町白木尾231,,一方 ( 西 4m 公道 ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0137526-0000438,専属専任媒介★,https://www.homes.co.jp/tochi/b-1375260000438/,株式会社ハイコム　不動産事業部,熊本県熊本市中央区神水１丁目8番4号,1,画像あり
"
850万円",熊本県熊本市西区花園6丁目,257平方メートル (公簿) / 77.74坪,http://local.google.co.jp/maps?q=熊本県熊本市西区花園6丁目,,一方 ( 南 4m 私道 位置指定 間口13.6m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0137526-0000663,専属専任媒介,https://www.homes.co.jp/tochi/b-1375260000663/,株式会社ハイコム　不動産事業部,熊本県熊本市中央区神水１丁目8番4号,1,画像あり
"
600万円",熊本県熊本市北区植木町滴水2219-3,236.65平方メートル (公簿) / 71.58坪,http://local.google.co.jp/maps?q=熊本県熊本市北区植木町滴水2219-3,,一方 ( 西 5.7m 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0142897-0000050,一般媒介,https://www.homes.co.jp/tochi/b-1428970000050/,株式会社コスギ不動産リアルティ　売買本部,熊本県熊本市中央区九品寺２丁目6-57,1,画像あり
"
890万円",熊本県阿蘇郡西原村大字小森2347番1,802平方メートル (公簿) / 242.6坪,http://local.google.co.jp/maps?q=熊本県阿蘇郡西原村大字小森2347番1,,( 東 6m 公道 間口38m ),都市計画区域外,山林,無指定,平坦,所有権,不要,"古家あり 

",相談,0137526-0000387,専属専任媒介★,https://www.homes.co.jp/tochi/b-1375260000387/,株式会社ハイコム　不動産事業部,熊本県熊本市中央区神水１丁目8番4号,1,画像あり
"
830万円",熊本県熊本市西区池上町2239,307.36平方メートル / 92.97坪,http://local.google.co.jp/maps?q=熊本県熊本市西区池上町2239,,一方 ( 南東 ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり更地引渡可 

","相談
（解体するかどうかなどで変動あり）",0131283-0000590,一般媒介★,https://www.homes.co.jp/tochi/b-1312830000590/,作州不動産株式会社　熊本支店,熊本県熊本市中央区安政町8-16　村瀬海運ビル1F,1,画像あり
"
500万円",熊本県熊本市西区花園7丁目74-30　東側,330.63平方メートル (公簿) / 100.01坪,http://local.google.co.jp/maps?q=熊本県熊本市西区花園7丁目74-30　東側,,一方 ( 北 3.9m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0142897-0000057,一般媒介,https://www.homes.co.jp/tochi/b-1428970000057/,株式会社コスギ不動産リアルティ　売買本部,熊本県熊本市中央区九品寺２丁目6-57,1,画像あり
"
1,000万円",熊本県熊本市中央区本山1丁目,95平方メートル (公簿) / 28.73坪,http://local.google.co.jp/maps?q=熊本県熊本市中央区本山1丁目,,一方 ( 南 6m 公道 間口4.5m ),市街化区域,宅地,第二種住居地域,-,所有権,不要,"古家あり 

",相談,0140347-0000694,専任媒介★,https://www.homes.co.jp/tochi/b-1403470000694/,株式会社たたら不動産　本社,熊本県熊本市中央区新屋敷２丁目2-1,1,画像あり
"
500万円",熊本県玉名市天水町小天2775,"2,420.09平方メートル (公簿) / 732.07坪",http://local.google.co.jp/maps?q=熊本県玉名市天水町小天2775,,一方 ( 西 2.2m 公道 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0142897-0000311,一般媒介,https://www.homes.co.jp/tochi/b-1428970000311/,株式会社コスギ不動産リアルティ　売買本部,熊本県熊本市中央区九品寺２丁目6-57,1,画像あり
