価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
390万円,神奈川県横須賀市二葉2丁目, 82㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市二葉2丁目,駐車場 空無, 一方 ( 北西 4m 私道 間口1.5m ), 市街化区域, 宅地, 第一種中高層住居専用地域, 高台, 所有権, 不要,空家, 即時, 0000353-0009506, 専任媒介,https://www.homes.co.jp/kodate/b-3530009506/,ウスイホーム株式会社　久里浜店,神奈川県横須賀市久里浜４丁目６－１２,2,画像あり
980万円,神奈川県厚木市飯山, 64.2㎡（公簿）備考内路地状部分約22m2含,http://local.google.co.jp/maps?q=神奈川県厚木市飯山,, 一方 ( 南東 4.5m ), 市街化区域, 宅地, 工業地域,, 所有権, 不要,空家, 相談, 0147308-0000260, 仲介,https://www.homes.co.jp/kodate/b-1473080000260/,住宅情報館株式会社　厚木店,神奈川県厚木市水引１丁目6-9,2,画像あり
730万円駐車場 空有 (1台) 料金：・管理費に含む,神奈川県横須賀市公郷町3丁目104-4, 53.62㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市公郷町3丁目104-4,駐車場 空有 (1台) 料金：・管理費に含む, 一方 ( 南 12m 公道 ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 0121494-0002525, 専任媒介,https://www.homes.co.jp/kodate/b-1214940002525/,ウスイホーム株式会社　武山店,神奈川県横須賀市林１丁目２３－１３,2,画像あり
980万円,神奈川県相模原市緑区中野, 110.81㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区中野,駐車場 空有 (1台) 無料, 角地 ( 北東 4m 私道 位置指定 間口9.6m ) ( 南東 4m 私道 位置指定 間口10.2m ), 非線引区域, 宅地, 第一種低層住居専用地域, ひな段, 所有権, 不要,空家, 相談, 0146421-0000042, 専任媒介,https://www.homes.co.jp/kodate/b-1464210000042/,株式会社白猫不動産,神奈川県相模原市緑区中野1152-5,2,画像あり
880万円,神奈川県茅ヶ崎市中島, 74.51㎡,http://local.google.co.jp/maps?q=神奈川県茅ヶ崎市中島,, 接道なし, 市街化区域,, 第一種住居地域,, 所有権, 不要,居住中, 相談, 0117516-0000402, 仲介,https://www.homes.co.jp/kodate/b-1175160000402/,小田急不動産株式会社　藤沢店,神奈川県藤沢市鵠沼橘１丁目１番２号　タチバナビル１階,2,画像あり
480万円,神奈川県横須賀市坂本町1丁目, 167.05㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市坂本町1丁目,駐車場 空無, 一方 ( 東 1.3m 私道 間口15m ), 市街化区域, 宅地, 第一種中高層住居専用地域, 高台, 所有権, 不要,空家, 即時, 0121494-0002600, 一般媒介,https://www.homes.co.jp/kodate/b-1214940002600/,ウスイホーム株式会社　武山店,神奈川県横須賀市林１丁目２３－１３,2,画像あり
930万円,神奈川県厚木市飯山, 64.2㎡（実測）,http://local.google.co.jp/maps?q=神奈川県厚木市飯山,駐車場 空有 無料, ( 南 4.5m 私道 間口2.3m ), 市街化区域, 宅地, 工業地域,, 所有権, 不要,空家, 相談, 0137743-0002327, 仲介,https://www.homes.co.jp/kodate/b-1377430002327/,株式会社グリーンプランテック　スマイエスト厚木店,神奈川県厚木市旭町１丁目38-7　後藤ビル1F,2,画像あり
500万円,神奈川県足柄下郡湯河原町宮下734-27, 269.39㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県足柄下郡湯河原町宮下734-27,駐車場 空無,, 非線引区域, 宅地, 無指定,, 所有権, 不要,-, 相談, 3331185-0000283, 一般媒介,https://www.homes.co.jp/kodate/b-33311850000283/,ワンストップ株式会社,静岡県熱海市中央町2-2,2,画像あり
380万円,神奈川県相模原市緑区牧野13995-1, 186.55㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区牧野13995-1,, 一方 ( 南西 4m 公道 間口11.8m ), 非線引区域, 宅地, 無指定, 高台, 所有権, 不要,空家, 相談, 0148272-0000005, 専任媒介,https://www.homes.co.jp/kodate/b-1482720000005/,株式会社ジェイアンドエム,神奈川県相模原市南区相南１丁目2番45号,2,画像あり
650万円,神奈川県横須賀市坂本町1丁目, 68.46㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市坂本町1丁目,駐車場 無, 一方 ( 東 1.9m 私道 ), 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,賃貸中, 相談, 0129387-0001129, 仲介,https://www.homes.co.jp/kodate/b-1293870001129/,株式会社ドリームプランニング　横須賀衣笠店,神奈川県横須賀市衣笠栄町２丁目15-3,2,画像あり
