価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
980万円",福岡県豊前市大字大村1883,777.88平方メートル (公簿) / 235.3坪,http://local.google.co.jp/maps?q=福岡県豊前市大字大村1883,,角地,非線引区域,その他,無指定,平坦,所有権,不要,"古家あり 

",相談,0139072-0000696,専任媒介★,https://www.homes.co.jp/tochi/b-1390720000696/,株式会社プラスワン　新宮店,福岡県糟屋郡新宮町美咲２丁目8番14号,1,画像あり
"
450万円",福岡県北九州市小倉南区津田4丁目,124.2平方メートル (公簿) / 37.57坪,http://local.google.co.jp/maps?q=福岡県北九州市小倉南区津田4丁目,,一方 ( 南 3.4m 私道 間口8.8m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129496-0000700,一般媒介★,https://www.homes.co.jp/tochi/b-1294960000700/,ハウスドゥ！住宅情報モール　小倉南店　グリーンシップ株式会社,福岡県北九州市小倉南区津田新町４丁目1-31,1,画像あり
"
830万円",福岡県北九州市戸畑区西大谷2丁目,220.73平方メートル / 66.77坪,http://local.google.co.jp/maps?q=福岡県北九州市戸畑区西大谷2丁目,,角地 ( 東 4.1m 公道 ) ( 南東 7.8m 公道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,3702172-0000927,専任媒介,https://www.homes.co.jp/tochi/b-37021720000927/,有限会社エステートプラン,福岡県北九州市八幡西区鷹の巣１丁目17-4,1,画像あり
"
850万円",福岡県北九州市若松区用勺町,518.49平方メートル / 156.84坪,http://local.google.co.jp/maps?q=福岡県北九州市若松区用勺町,,一方 ( 西 4m 公道 間口22m ),市街化区域,宅地,第一種低層住居専用地域,ひな段,所有権,不要,"古家あり 

","相談
（建物有）",0126973-0014659,一般媒介,https://www.homes.co.jp/tochi/b-1269730014659/,株式会社情報サービス福岡,福岡県福岡市博多区諸岡３丁目1-35,1,画像あり
"
980万円",福岡県遠賀郡芦屋町大字山鹿,330.59平方メートル / 100坪,http://local.google.co.jp/maps?q=福岡県遠賀郡芦屋町大字山鹿,,-,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,3702172-0000949,専任媒介,https://www.homes.co.jp/tochi/b-37021720000949/,有限会社エステートプラン,福岡県北九州市八幡西区鷹の巣１丁目17-4,1,画像あり
"
840万円",福岡県北九州市小倉南区中貫2丁目,166.66平方メートル / 50.41坪,http://local.google.co.jp/maps?q=福岡県北九州市小倉南区中貫2丁目,,一方 ( 北東 6m 公道 間口3.2m ),市街化区域,宅地,第一種低層住居専用地域,平坦,所有権,不要,"古家あり 

",即時,0138046-0000130,専任媒介★,https://www.homes.co.jp/tochi/b-1380460000130/,ホームサテイ株式会社,福岡県北九州市小倉南区田原３丁目１‐１８,1,画像あり
"
520万円",福岡県北九州市八幡西区友田1丁目,263.2平方メートル (公簿) / 79.61坪,http://local.google.co.jp/maps?q=福岡県北九州市八幡西区友田1丁目,,一方 ( 南 3.9m 公道 間口14m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0140541-0000576,仲介,https://www.homes.co.jp/tochi/b-1405410000576/,ハウスドゥ　八幡西　グリーンシップ株式会社,福岡県北九州市八幡西区三ケ森２丁目1-5,1,画像あり
"
250万円",福岡県北九州市小倉南区長行東2丁目,145.43平方メートル (公簿) / 43.99坪,http://local.google.co.jp/maps?q=福岡県北九州市小倉南区長行東2丁目,,一方 ( 東 6.1m 公道 間口2m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129496-0001646,一般媒介★,https://www.homes.co.jp/tochi/b-1294960001646/,ハウスドゥ！住宅情報モール　小倉南店　グリーンシップ株式会社,福岡県北九州市小倉南区津田新町４丁目1-31,1,画像あり
"
300万円",福岡県大牟田市柿園町3丁目2-7,93.36平方メートル (公簿) / 28.24坪,http://local.google.co.jp/maps?q=福岡県大牟田市柿園町3丁目2-7,,一方 ( 南 20m 公道 間口13.7m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,3707094-0001063,専任媒介★,https://www.homes.co.jp/tochi/b-37070940001063/,さくらエステート 　福岡トーヨー株式会社不動産部,福岡県大牟田市中白川町１丁目60番地3,1,画像あり
"
780万円",福岡県北九州市八幡西区船越2丁目1-9,190.74平方メートル (公簿) / 57.69坪,http://local.google.co.jp/maps?q=福岡県北九州市八幡西区船越2丁目1-9,,( 南 6.2m 公道 間口10.7m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0131366-0002276,一般媒介★,https://www.homes.co.jp/tochi/b-1313660002276/,株式会社不動産のデパートひろた　売買営業課,福岡県北九州市八幡東区山王１丁目11-1,1,画像あり
