価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
800万円,福島県安達郡大玉村大山字岩高9-16, 268.04㎡（公簿）,http://local.google.co.jp/maps?q=福島県安達郡大玉村大山字岩高9-16,駐車場 空有 (2台) 車種により3台以上可能, 一方 ( 南 5.1m 公道 間口14.5m ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 3228213-0000117, 専任媒介,https://www.homes.co.jp/kodate/b-32282130000117/,郡中丸木株式会社　郡山売買課,福島県郡山市備前舘２丁目100,2,画像あり
870万円,福島県岩瀬郡天栄村飯豊字大山, 444.79㎡,http://local.google.co.jp/maps?q=福島県岩瀬郡天栄村飯豊字大山,, ( 北東 7m 公道 ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0136178-0001076, 仲介,https://www.homes.co.jp/kodate/b-1361780001076/,三柏工業株式会社　YoursHOUSE須賀川店,福島県須賀川市高久田境87-1　メガステージ須賀川内,2,画像あり
502万円,福島県耶麻郡猪苗代町大字八幡字内野入, 297㎡（公簿）,http://local.google.co.jp/maps?q=福島県耶麻郡猪苗代町大字八幡字内野入,, ( 南 ) ( 東 ), 非線引区域, 原野, 無指定,, 所有権, 不要,空家, 相談, 0124694-0001194, 専任媒介,https://www.homes.co.jp/kodate/b-1246940001194/,ユアーズハウス郡山店　三柏工業株式会社,福島県郡山市図景２丁目11-28,2,画像あり
999万円,福島県南会津郡南会津町田島字鎌倉崎乙35-1, 261.4㎡（公簿）,http://local.google.co.jp/maps?q=福島県南会津郡南会津町田島字鎌倉崎乙35-1,駐車場 空有 (2台) 無料, 一方 ( 南東 10m 公道 ), 非線引区域, 宅地, 準工業地域, 平坦, 所有権, 不要,空家, 即時, 0122002-0000318, 売主,https://www.homes.co.jp/kodate/b-1220020000318/,株式会社カチタス 会津店,福島県会津若松市町北町大字上荒久田字崖下７７‐２,2,画像あり
980万円,福島県本宮市本宮字鳴瀬28-6, 224.07㎡（公簿）,http://local.google.co.jp/maps?q=福島県本宮市本宮字鳴瀬28-6,駐車場 無, 一方 ( 南 5m 公道 間口10.5m ), 非線引区域, 宅地, 第一種住居地域, ひな段, 所有権, 不要,空家, 相談, 3228213-0000093, 専任媒介,https://www.homes.co.jp/kodate/b-32282130000093/,郡中丸木株式会社　郡山売買課,福島県郡山市備前舘２丁目100,2,画像あり
680万円,福島県いわき市山田町塙, 298.56㎡（公簿）,http://local.google.co.jp/maps?q=福島県いわき市山田町塙,駐車場 空有 (3台) 無料, 一方 ( 南 4m 私道 ) ( 北 4m 私道 ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0109450-0000574, 専属専任媒介,https://www.homes.co.jp/kodate/b-1094500000574/,株式会社いわき土地建物 小島東店,福島県いわき市小島町２丁目9-13,2,画像あり
780万円,福島県いわき市勿来町関田御城前98-48, 152㎡（公簿）,http://local.google.co.jp/maps?q=福島県いわき市勿来町関田御城前98-48,, 一方 ( 南 6m 公道 ), 市街化区域, 雑種地, 第一種住居地域, 平坦, 旧法賃借権, 不要,空家, 相談, 3904418-0000099, 専任媒介,https://www.homes.co.jp/kodate/b-39044180000099/,住まいるwith有限会社,埼玉県越谷市大字袋山1973-8,2,画像あり
600万円,福島県福島市飯野町字町, 421.81㎡（公簿）,http://local.google.co.jp/maps?q=福島県福島市飯野町字町,駐車場 空有 (2台) 無料,, 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0113158-0003114, 専任媒介,https://www.homes.co.jp/kodate/b-1131580003114/,東海住宅株式会社　福島支店,福島県福島市野田町５丁目２－５０,2,画像あり
990万円,福島県いわき市錦町古川15, 287㎡（公簿）,http://local.google.co.jp/maps?q=福島県いわき市錦町古川15,駐車場 空有 (6台) 無料, 角地 ( 北 私道 間口4m ) ( 東 私道 間口4m ), 市街化区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 即時, 3707197-0001377, 専任媒介,https://www.homes.co.jp/kodate/b-37071970001377/,オレンジ株式会社,福島県いわき市泉町滝尻字下谷地12-1,2,画像あり
890万円,福島県石川郡石川町字鹿ノ坂2," 1,817.28㎡（公簿）",http://local.google.co.jp/maps?q=福島県石川郡石川町字鹿ノ坂2,駐車場 空有 無料,, 区域外, 宅地,, 平坦, 所有権, 不要,空家, 即時, 3901651-0000038, 一般媒介,https://www.homes.co.jp/kodate/b-39016510000038/,有限会社パロス商事,福島県本宮市本宮字中條16-22,2,画像あり
