価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
599万円,秋田県雄勝郡羽後町字東新成49-2, 766.9㎡（公簿）,http://local.google.co.jp/maps?q=秋田県雄勝郡羽後町字東新成49-2,駐車場 空有 (3台) 無料, 一方 ( 北西 4.9m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 2023年02月 下旬, 0121994-0000454, 売主,https://www.homes.co.jp/kodate/b-1219940000454/,株式会社カチタス 横手店,秋田県横手市婦気大堤字婦気前272-1　ベルウッド101号室,2,画像あり
700万円,秋田県由利本荘市矢島町元町字大川原65-15, 508.62㎡（公簿）,http://local.google.co.jp/maps?q=秋田県由利本荘市矢島町元町字大川原65-15,駐車場 空有 無料, 一方 ( 北 4m 公道 間口9m ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 3210570-0000184, 仲介,https://www.homes.co.jp/kodate/b-32105700000184/,ささき不動産プロジェクト,秋田県由利本荘市八幡下167　1階,2,画像あり
600万円,秋田県潟上市天王大崎字野沢191-210, 153.1㎡（公簿）,http://local.google.co.jp/maps?q=秋田県潟上市天王大崎字野沢191-210,備考任意売却ですので転居の猶予期間を頂きます。駐車場がありませんので南側生け垣を除伐して軽1台駐車可能です。南側道路向いに集落墓地あり。, 角地 ( 北東 5m 公道 ) ( 南 4.2m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,居住中, 相談 任意売却ですので転居の猶予期間を頂きます。, 0120784-0000398, 仲介,https://www.homes.co.jp/kodate/b-1207840000398/,むつみホーム株式会社,秋田県秋田市下新城中野字琵琶沼２５８番地３,2,画像あり
829万円,秋田県横手市十文字町字上佐吉開10-63, 242.6㎡（公簿）,http://local.google.co.jp/maps?q=秋田県横手市十文字町字上佐吉開10-63,駐車場 空有 (3台) 無料, 一方 ( 北 8.4m 公道 ), 非線引区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 即時, 0121994-0000459, 売主,https://www.homes.co.jp/kodate/b-1219940000459/,株式会社カチタス 横手店,秋田県横手市婦気大堤字婦気前272-1　ベルウッド101号室,2,画像あり
720万円,秋田県北秋田市鷹巣字下家下39-3, 225.22㎡,http://local.google.co.jp/maps?q=秋田県北秋田市鷹巣字下家下39-3,, ( 北 5m 公道 ) ( 東 6m 私道 ), 非線引区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 相談, 0115051-0000685, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000685/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
730万円,秋田県山本郡三種町森岳字街道東11-2, 741.65㎡,http://local.google.co.jp/maps?q=秋田県山本郡三種町森岳字街道東11-2,,, 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0115051-0000573, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000573/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
420万円駐車場 空有 料金：・管理費に含む,秋田県男鹿市野石字相ノ沢7-1, 732.98㎡（公簿）,http://local.google.co.jp/maps?q=秋田県男鹿市野石字相ノ沢7-1,駐車場 空有 料金：・管理費に含む, ( 北東 9m 公道 ), 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0115051-0000418, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000418/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
490万円,秋田県秋田市楢山愛宕下, 96.69㎡（公簿）,http://local.google.co.jp/maps?q=秋田県秋田市楢山愛宕下,駐車場 空有 無料備考駐車場軽自動車1台, 一方 ( 東 3.2m 私道 間口8.1m ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,居住中, 相談, 3210813-0000024, 専属専任媒介,https://www.homes.co.jp/kodate/b-32108130000024/,有限会社魁光住宅産業,秋田県秋田市牛島東６丁目2番32号,2,画像あり
899万円,秋田県湯沢市杉沢字森道上247-1, 508.53㎡（公簿）,http://local.google.co.jp/maps?q=秋田県湯沢市杉沢字森道上247-1,駐車場 空有 (5台) 無料, 一方 ( 東 16m 公道 ), 非線引区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 即時, 0121994-0000450, 売主,https://www.homes.co.jp/kodate/b-1219940000450/,株式会社カチタス 横手店,秋田県横手市婦気大堤字婦気前272-1　ベルウッド101号室,2,画像あり
980万円,秋田県秋田市土崎港中央2丁目, 320.09㎡（公簿）共有持分1/1,http://local.google.co.jp/maps?q=秋田県秋田市土崎港中央2丁目,駐車場 空有 無料, 一方 ( 南 3.6m 公道 間口8.7m ), 市街化区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 相談, 3221592-0000055, 専任媒介,https://www.homes.co.jp/kodate/b-32215920000055/,株式会社リプロデザイン,秋田県秋田市外旭川字八幡田146番地1,2,画像あり
