価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
600万円",長崎県長崎市高丘2丁目,228.09平方メートル (公簿) / 68.99坪,http://local.google.co.jp/maps?q=長崎県長崎市高丘2丁目,,接道なし,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129464-0000006,一般媒介,https://www.homes.co.jp/tochi/b-1294640000006/,ハウスドゥ！長崎西店　アイ・ステップ株式会社,長崎県長崎市春木町9-12　田中ビル1F,1,画像あり
"
480万円",長崎県長崎市北栄町,296.32平方メートル (公簿) / 89.63坪,http://local.google.co.jp/maps?q=長崎県長崎市北栄町,,一方 ( 西 4m 私道 間口11.7m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129464-0000175,専任媒介★,https://www.homes.co.jp/tochi/b-1294640000175/,ハウスドゥ！長崎西店　アイ・ステップ株式会社,長崎県長崎市春木町9-12　田中ビル1F,1,画像あり
"
950万円",長崎県長崎市小瀬戸町,191.73平方メートル (公簿) / 57.99坪,http://local.google.co.jp/maps?q=長崎県長崎市小瀬戸町,,一方 ( 東 5m 公道 間口9m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0124304-0000230,専任媒介★,https://www.homes.co.jp/tochi/b-1243040000230/,有限会社東和不動産,長崎県長崎市平和町28-18,1,画像あり
"
435万円",長崎県佐世保市天神3丁目8-3,244平方メートル (公簿) / 73.81坪,http://local.google.co.jp/maps?q=長崎県佐世保市天神3丁目8-3,,一方 ( 南西 4.7m 公道 間口12m ),市街化区域,宅地,第一種低層住居専用地域,高台,所有権,不要,"古家あり 

",即時,0113365-0000209,仲介★,https://www.homes.co.jp/tochi/b-1133650000209/,株式会社ダイワハウジング,長崎県佐世保市稲荷町３番２号,1,画像あり
"
1,000万円",長崎県長崎市江里町,85.39平方メートル (公簿) / 25.83坪,http://local.google.co.jp/maps?q=長崎県長崎市江里町,,一方 ( 北 3.3m 私道 間口9.9m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129464-0000309,専属専任媒介★,https://www.homes.co.jp/tochi/b-1294640000309/,ハウスドゥ！長崎西店　アイ・ステップ株式会社,長崎県長崎市春木町9-12　田中ビル1F,1,画像あり
"
500万円",長崎県佐世保市棚方町477番3,215平方メートル (公簿) / 65.03坪,http://local.google.co.jp/maps?q=長崎県佐世保市棚方町477番3,,一方 ( 南西 8m 公道 間口7.5m ),市街化区域,雑種地,第二種住居地域,平坦,所有権,不要,"古家あり 

",相談,3700484-0000012,一般媒介★,https://www.homes.co.jp/tochi/b-37004840000012/,大東建託リーシング株式会社　佐世保駅前店,長崎県佐世保市三浦町3番7号　佐世保フロントビル1階,1,画像あり
"
850万円",長崎県長崎市深堀町1丁目11-111,69.12平方メートル / 20.9坪,http://local.google.co.jp/maps?q=長崎県長崎市深堀町1丁目11-111,,-,市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0140212-0000182,一般媒介★,https://www.homes.co.jp/tochi/b-1402120000182/,作州不動産株式会社　長崎支店,長崎県長崎市目覚町5番5号,1,画像あり
"
880万円",長崎県長崎市中小島1丁目,101.98平方メートル (公簿) / 30.84坪,http://local.google.co.jp/maps?q=長崎県長崎市中小島1丁目,,接道なし,市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129464-0000156,一般媒介,https://www.homes.co.jp/tochi/b-1294640000156/,ハウスドゥ！長崎西店　アイ・ステップ株式会社,長崎県長崎市春木町9-12　田中ビル1F,1,画像あり
"
900万円",長崎県西彼杵郡長与町吉無田郷1273-3,"3,550平方メートル (公簿) / 1,073.87坪",http://local.google.co.jp/maps?q=長崎県西彼杵郡長与町吉無田郷1273-3,,-,市街化調整区域,畑,-,-,所有権,不要,"古家あり 

",相談,0140212-0000223,専任媒介★,https://www.homes.co.jp/tochi/b-1402120000223/,作州不動産株式会社　長崎支店,長崎県長崎市目覚町5番5号,1,画像あり
"
350万円",長崎県長崎市平山町1352-15,136.56平方メートル (公簿) / 41.3坪,http://local.google.co.jp/maps?q=長崎県長崎市平山町1352-15,,-,市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0132998-0000082,仲介,https://www.homes.co.jp/tochi/b-1329980000082/,三和地建,長崎県長崎市蚊焼町2299番9,1,画像あり
