価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
760万円,青森県三戸郡田子町大字山口字山口, 479.34㎡,http://local.google.co.jp/maps?q=青森県三戸郡田子町大字山口字山口,, 一方 ( 南 9m 公道 間口38.5m ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談 R2.12月以降内覧可能, 0115051-0000736, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000736/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
970万円,青森県十和田市大字三本木133-14, 216.59㎡,http://local.google.co.jp/maps?q=青森県十和田市大字三本木133-14,, 一方 ( 南東 66.5m 私道 ), 非線引区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,空家, 相談, 0115051-0000845, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000845/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
980万円,青森県三戸郡階上町大字赤保内字柳沢, 215.07㎡（公簿）,http://local.google.co.jp/maps?q=青森県三戸郡階上町大字赤保内字柳沢,駐車場 空有 (4台) 無料 物件からの距離0m, 接道なし, 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0141981-0000293, 一般媒介,https://www.homes.co.jp/kodate/b-1419810000293/,ハウスドゥ！八戸田向店　株式会社といず不動産,青森県八戸市田向２丁目1-20,2,画像あり
620万円,青森県むつ市川内町銀杏木67, 668.15㎡,http://local.google.co.jp/maps?q=青森県むつ市川内町銀杏木67,, ( 東 7m 公道 間口7m ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談 2020.6.11退去予定, 0115051-0000689, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000689/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
320万円駐車場 空有 (4台) 料金：・管理費に含む,青森県北津軽郡中泊町大字大沢内字海原148-135, 655.73㎡（公簿）,http://local.google.co.jp/maps?q=青森県北津軽郡中泊町大字大沢内字海原148-135,駐車場 空有 (4台) 料金：・管理費に含む,, 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0115051-0000548, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000548/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
897万円,青森県下北郡風間浦村大字易国間字易国間, 250.78㎡,http://local.google.co.jp/maps?q=青森県下北郡風間浦村大字易国間字易国間,, ( 南 2.4m 公道 間口6m ),, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0115051-0000743, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000743/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
280万円,青森県青森市大字野沢字川部, 163.74㎡（公簿）,http://local.google.co.jp/maps?q=青森県青森市大字野沢字川部,駐車場 空有 無料, 角地 ( 北東 13m 公道 ) ( 南東 12.5m 公道 ), 区域外, 宅地, 第一種低層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 3702019-0001291, 専任媒介,https://www.homes.co.jp/kodate/b-37020190001291/,イエステーション 青森中央店 クロタキ不動産株式会社,青森県青森市安方２丁目9-16,2,画像あり
700万円,青森県青森市大字筒井字八ツ橋, 185.96㎡（公簿）,http://local.google.co.jp/maps?q=青森県青森市大字筒井字八ツ橋,駐車場 無, 一方 ( 北 私道 ), 市街化区域, 宅地, 第一種低層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 3702019-0001336, 専任媒介,https://www.homes.co.jp/kodate/b-37020190001336/,イエステーション 青森中央店 クロタキ不動産株式会社,青森県青森市安方２丁目9-16,2,画像あり
520万円,青森県五所川原市大字飯詰字福泉113-2, 141.58㎡,http://local.google.co.jp/maps?q=青森県五所川原市大字飯詰字福泉113-2,, ( 北西 3m 公道 間口26m ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0115051-0000617, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000617/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
"1,000万円",青森県青森市幸畑2丁目11-8, 265.48㎡（公簿）,http://local.google.co.jp/maps?q=青森県青森市幸畑2丁目11-8,, 角地 ( 東 15.9m 公道 間口13m ) ( 南 8.2m 公道 間口12m ), 市街化区域, 宅地,,, 所有権, 不要,居住中, 相談, 0137517-0000193, 専任媒介,https://www.homes.co.jp/kodate/b-1375170000193/,株式会社土屋ホーム不動産　青森営業所,青森県青森市東造道３丁目6番3号　テーオー東造道ビル3階,2,画像あり
680万円,青森県八戸市大字河原木字袖ノ沢, 166.2㎡（公簿）,http://local.google.co.jp/maps?q=青森県八戸市大字河原木字袖ノ沢,駐車場 空有 (2台) 無料 物件からの距離0m, 接道なし, 市街化区域, 宅地, 第一種住居地域,, 所有権, 不要,空家, 相談, 0141980-0000351, 専任媒介,https://www.homes.co.jp/kodate/b-1419800000351/,ハウスドゥ　八戸下長　株式会社といず不動産,青森県八戸市下長３丁目13-26,2,画像あり
360万円駐車場 空有 料金：・管理費に含む,青森県北津軽郡中泊町大字小泊字小泊19-3, 303.7㎡（公簿）,http://local.google.co.jp/maps?q=青森県北津軽郡中泊町大字小泊字小泊19-3,駐車場 空有 料金：・管理費に含む,, 区域外, 宅地, 無指定,, 所有権, 不要,-, 即時, 0115051-0000424, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000424/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
950万円,青森県青森市金沢2丁目8-34, 119.05㎡（公簿）,http://local.google.co.jp/maps?q=青森県青森市金沢2丁目8-34,, 一方 ( 西 4.4m 公道 間口11.2m ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,居住中, 相談, 0137517-0000191, 専任媒介,https://www.homes.co.jp/kodate/b-1375170000191/,株式会社土屋ホーム不動産　青森営業所,青森県青森市東造道３丁目6番3号　テーオー東造道ビル3階,2,画像あり
750万円,青森県青森市大字滝沢字住吉168-3, 634㎡（公簿）,http://local.google.co.jp/maps?q=青森県青森市大字滝沢字住吉168-3,駐車場 空有 (3台) 無料, 接道なし, 区域外容積率 0%（区域外の為、容積率・建蔽率の指定なし。）, 畑, 無指定, 平坦, 所有権, 不要,空家, 相談, 0009031-0000029, 売主,https://www.homes.co.jp/kodate/b-90310000029/,センチュリー21アクト,青森県青森市浪打２丁目1-17,2,画像あり
600万円,青森県八戸市大字白銀町字堀ノ内, 156.41㎡（公簿）,http://local.google.co.jp/maps?q=青森県八戸市大字白銀町字堀ノ内,駐車場 無備考※前面道路持分なし※駐車場現況なし（塀を撤去により可能）, 接道なし, 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家備考※前面道路持分なし※駐車場なし（塀を撤去により可能）, 相談, 0141981-0000381, 一般媒介,https://www.homes.co.jp/kodate/b-1419810000381/,ハウスドゥ！八戸田向店　株式会社といず不動産,青森県八戸市田向２丁目1-20,2,画像あり
650万円,青森県八戸市大字鮫町字金屎, 181.95㎡（公簿）,http://local.google.co.jp/maps?q=青森県八戸市大字鮫町字金屎,駐車場 空有 (1台) 無料 物件からの距離0m, 一方 ( 北 公道 ), 市街化調整区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0141981-0000284, 専任媒介,https://www.homes.co.jp/kodate/b-1419810000284/,ハウスドゥ！八戸田向店　株式会社といず不動産,青森県八戸市田向２丁目1-20,2,画像あり
