価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
637万円",香川県さぬき市志度,211.82平方メートル / 64.07坪,http://local.google.co.jp/maps?q=香川県さぬき市志度,,角地 ( 北 6m ) ( 西 6m ),非線引区域,宅地,第一種低層住居専用地域,平坦,その他,不要,"古家あり 

",即時,3220229-0000005,売主,https://www.homes.co.jp/tochi/b-32202290000005/,よんてつ不動産株式会社,香川県高松市藤塚町３丁目19-45,1,画像あり
"
600万円",香川県高松市高松町,173.08平方メートル (公簿) / 52.35坪,http://local.google.co.jp/maps?q=香川県高松市高松町,,-,非線引区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,3220262-0001283,仲介,https://www.homes.co.jp/tochi/b-32202620001283/,株式会社エムクレア,香川県高松市高松町464番地3,1,画像あり
"
500万円",香川県高松市田村町,328.83平方メートル (公簿) / 99.47坪,http://local.google.co.jp/maps?q=香川県高松市田村町,,( 南 3m 公道 ),非線引区域,宅地,準工業地域,-,所有権,不要,"古家あり 

",相談,3220262-0000975,仲介,https://www.homes.co.jp/tochi/b-32202620000975/,株式会社エムクレア,香川県高松市高松町464番地3,1,画像あり
"
652万円",香川県高松市高松町210-16,172.39平方メートル / 52.14坪,http://local.google.co.jp/maps?q=香川県高松市高松町210-16,,角地 ( 北 4.5m ) ( 東 4m ),非線引区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,3220201-0000055,専任媒介,https://www.homes.co.jp/tochi/b-32202010000055/,有限会社リアリティズ成平,香川県高松市太田上町1006-3,1,画像あり
"
490万円",香川県善通寺市下吉田町,395.31平方メートル (公簿) / 119.58坪,http://local.google.co.jp/maps?q=香川県善通寺市下吉田町,,一方 ( 南 5m 公道 間口24m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

 ",相談,0139331-0000010,一般媒介,https://www.homes.co.jp/tochi/b-1393310000010/,-,-,1,画像あり
"
980万円",香川県仲多度郡まんのう町東高篠,717.97平方メートル / 217.18坪,http://local.google.co.jp/maps?q=香川県仲多度郡まんのう町東高篠,,-,非線引区域,宅地,-,-,所有権,不要,"古家あり 

",相談,3220239-0000077,一般媒介,https://www.homes.co.jp/tochi/b-32202390000077/,株式会社トータルハウジング,香川県仲多度郡まんのう町西高篠239-17,1,画像あり
"
890万円",香川県仲多度郡まんのう町吉野,949.97平方メートル / 287.36坪,http://local.google.co.jp/maps?q=香川県仲多度郡まんのう町吉野,,-,非線引区域,宅地,-,-,所有権,不要,"古家あり 

",相談,3220239-0000033,仲介,https://www.homes.co.jp/tochi/b-32202390000033/,株式会社トータルハウジング,香川県仲多度郡まんのう町西高篠239-17,1,画像あり
"
720万円",香川県高松市成合町772-3,296.27平方メートル / 89.62坪,http://local.google.co.jp/maps?q=香川県高松市成合町772-3,,一方 ( 南 5m 私道 間口4m ),非線引区域,宅地,第一種低層住居専用地域,-,その他,不要,"古家あり 

",即時,3220201-0000002,仲介,https://www.homes.co.jp/tochi/b-32202010000002/,有限会社リアリティズ成平,香川県高松市太田上町1006-3,1,画像あり
"
980万円",香川県仲多度郡まんのう町東高篠,717.97平方メートル / 217.18坪,http://local.google.co.jp/maps?q=香川県仲多度郡まんのう町東高篠,,-,非線引区域,宅地,-,-,所有権,不要,"古家あり 

",相談,3220239-0000065,一般媒介,https://www.homes.co.jp/tochi/b-32202390000065/,株式会社トータルハウジング,香川県仲多度郡まんのう町西高篠239-17,1,画像あり
"
750万円",香川県高松市高松町,253.3平方メートル (公簿) / 76.62坪,http://local.google.co.jp/maps?q=香川県高松市高松町,,角地 ( 南 4m 公道 ) ( 西 5m 公道 ),非線引区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,3220262-0000153,仲介,https://www.homes.co.jp/tochi/b-32202620000153/,株式会社エムクレア,香川県高松市高松町464番地3,1,画像あり
