価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
976.8万円",鳥取県米子市河崎,324平方メートル (公簿) / 98.01坪,http://local.google.co.jp/maps?q=鳥取県米子市河崎,,一方 ( 北西 5m 公道 間口11m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,3707398-0000149,専任媒介★,https://www.homes.co.jp/tochi/b-37073980000149/,株式会社島津組,鳥取県米子市観音寺新町３丁目4-29,1,画像あり
"
500万円",鳥取県境港市芝町,"1,120.32平方メートル (公簿) / 338.89坪",http://local.google.co.jp/maps?q=鳥取県境港市芝町,,一方 ( 東 4m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129380-0000986,一般媒介,https://www.homes.co.jp/tochi/b-1293800000986/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
460万円",鳥取県米子市熊党,230平方メートル / 69.57坪,http://local.google.co.jp/maps?q=鳥取県米子市熊党,,接道なし,市街化区域,宅地,工業地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129380-0001244,仲介,https://www.homes.co.jp/tochi/b-1293800001244/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
880万円",鳥取県米子市淀江町小波,424.82平方メートル (公簿) / 128.5坪,http://local.google.co.jp/maps?q=鳥取県米子市淀江町小波,,一方 ( 北西 5m 公道 間口12m ),非線引区域,-,無指定,平坦,所有権,不要,"古家あり 

",相談,0135911-0000260,一般媒介,https://www.homes.co.jp/tochi/b-1359110000260/,有限会社不動産情報マイホーム,鳥取県米子市末広町192,1,画像あり
"
520万円",鳥取県米子市尾高,347平方メートル (公簿) / 104.96坪,http://local.google.co.jp/maps?q=鳥取県米子市尾高,,一方 ( 西 6m 公道 間口20m ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,0131362-0000242,専任媒介★,https://www.homes.co.jp/tochi/b-1313620000242/,Q’sCompany株式会社,鳥取県米子市淀江町西原1162番地1,1,画像あり
"
180万円",鳥取県境港市外江町,332.61平方メートル (公簿) / 100.61坪,http://local.google.co.jp/maps?q=鳥取県境港市外江町,,一方 ( 西 4m 公道 間口2.5m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129380-0001007,仲介,https://www.homes.co.jp/tochi/b-1293800001007/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
479.97万円",鳥取県境港市中野町,528.92平方メートル (公簿) / 159.99坪,http://local.google.co.jp/maps?q=鳥取県境港市中野町,,一方 ( 東 2.3m 公道 間口14.1m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129380-0001277,仲介,https://www.homes.co.jp/tochi/b-1293800001277/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
400万円",鳥取県西伯郡伯耆町三部,337.94平方メートル (公簿) / 102.22坪,http://local.google.co.jp/maps?q=鳥取県西伯郡伯耆町三部,,一方 ( 北西 ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129380-0000848,専属専任媒介,https://www.homes.co.jp/tochi/b-1293800000848/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
200万円",鳥取県西伯郡伯耆町大殿,325.84平方メートル (公簿) / 98.56坪,http://local.google.co.jp/maps?q=鳥取県西伯郡伯耆町大殿,,一方 ( 北西 12m 公道 間口2m ),都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129380-0000974,一般媒介,https://www.homes.co.jp/tochi/b-1293800000974/,ハウスドゥ！米子店　西日本ホーム株式会社,鳥取県米子市米原７丁目15-27,1,画像あり
"
750万円",鳥取県米子市淀江町今津,311.31平方メートル / 94.17坪,http://local.google.co.jp/maps?q=鳥取県米子市淀江町今津,,一方 ( 南東 12m 公道 間口24m ),非線引区域,宅地,-,平坦,所有権,不要,"古家あり 

",相談,0131362-0000240,専任媒介★,https://www.homes.co.jp/tochi/b-1313620000240/,Q’sCompany株式会社,鳥取県米子市淀江町西原1162番地1,1,画像あり
