価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
480万円",鹿児島県鹿児島市錦江台3丁目,248.86平方メートル / 75.28坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市錦江台3丁目,,接道なし,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0145105-0000378,一般媒介,https://www.homes.co.jp/tochi/b-1451050000378/,ハウスドゥ　中山　合同会社ハッピー,鹿児島県鹿児島市山田町378,1,画像あり
"
980万円",鹿児島県鹿児島市東坂元4丁目,314.04平方メートル (公簿) / 94.99坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市東坂元4丁目,,一方 ( 北東 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129452-0002746,一般媒介,https://www.homes.co.jp/tochi/b-1294520002746/,ハウスドゥ！鹿児島中央店　南日本ハウス株式会社,鹿児島県鹿児島市上荒田町38番8号,1,画像あり
"
300万円",鹿児島県鹿児島市上竜尾町,152.95平方メートル (公簿) / 46.26坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市上竜尾町,,接道なし ( 2m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0145105-0000290,一般媒介,https://www.homes.co.jp/tochi/b-1451050000290/,ハウスドゥ　中山　合同会社ハッピー,鹿児島県鹿児島市山田町378,1,画像あり
"
550万円",鹿児島県鹿児島市東坂元3丁目,149.02平方メートル (公簿) / 45.07坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市東坂元3丁目,,一方 ( 南東 6m 公道 間口6m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0139808-0000881,一般媒介,https://www.homes.co.jp/tochi/b-1398080000881/,ハウスドゥ！吉野店　株式会社フォローエステート,鹿児島県鹿児島市吉野１丁目9-7,1,画像あり
"
380万円",鹿児島県鹿児島市稲荷町,221.95平方メートル (公簿) / 67.13坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市稲荷町,,一方 ( 南 ),市街化区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり 

",即時,0139808-0001063,一般媒介,https://www.homes.co.jp/tochi/b-1398080001063/,ハウスドゥ！吉野店　株式会社フォローエステート,鹿児島県鹿児島市吉野１丁目9-7,1,画像あり
"
780万円",鹿児島県鹿児島市西陵3丁目,149.04平方メートル (公簿) / 45.08坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市西陵3丁目,,接道なし,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129368-0002646,一般媒介,https://www.homes.co.jp/tochi/b-1293680002646/,ハウスドゥ！伊敷店　南日本ハウス株式会社,鹿児島県鹿児島市下伊敷１丁目46-16,1,画像あり
"
840万円",鹿児島県鹿児島市大明丘3丁目,163.56平方メートル (公簿) / 49.47坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市大明丘3丁目,,一方 ( 南 4m 私道 間口13m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129452-0003840,一般媒介,https://www.homes.co.jp/tochi/b-1294520003840/,ハウスドゥ！鹿児島中央店　南日本ハウス株式会社,鹿児島県鹿児島市上荒田町38番8号,1,画像あり
"
540万円",鹿児島県鹿児島市西伊敷5丁目,240.57平方メートル (公簿) / 72.77坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市西伊敷5丁目,,一方 ( 北 5.3m 公道 間口14m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0139808-0001213,一般媒介,https://www.homes.co.jp/tochi/b-1398080001213/,ハウスドゥ！吉野店　株式会社フォローエステート,鹿児島県鹿児島市吉野１丁目9-7,1,画像あり
"
1,000万円",鹿児島県鹿児島市明和5丁目,194.55平方メートル (公簿) / 58.85坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市明和5丁目,,一方 ( 北東 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129368-0004239,一般媒介,https://www.homes.co.jp/tochi/b-1293680004239/,ハウスドゥ！伊敷店　南日本ハウス株式会社,鹿児島県鹿児島市下伊敷１丁目46-16,1,画像あり
"
1,000万円",鹿児島県鹿児島市玉里町,275.24平方メートル (公簿) / 83.26坪,http://local.google.co.jp/maps?q=鹿児島県鹿児島市玉里町,,接道なし,市街化区域,宅地,第二種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129368-0002682,一般媒介,https://www.homes.co.jp/tochi/b-1293680002682/,ハウスドゥ！伊敷店　南日本ハウス株式会社,鹿児島県鹿児島市下伊敷１丁目46-16,1,画像あり
